"Sector","Major Head ","Cat","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REGS","MH 2011","A","U","A Union Govt","130.70","177.57","214.32","300.69","283.09","235.61","298.66","299.33","347.20","424.86","500.09","557.10"
"REGS","MH 2011","B","UT","A UT Puducherry","3.06","3.49","3.42","3.26","3.51","4.35","4.49","5.21","5.70","7.00","10.58","10.35"
"REGS","MH 2011","B","G","Andhra Pradesh","14.63","21.39","25.18","36.76","25.46","30.45","34.93","39.54","44.91","52.72","51.52","49.16"
"REGS","MH 2011","B","S","Arunachal Pradesh","3.22","3.21","3.07","4.09","4.96","7.77","6.77","7.07","8.45","9.29","13.28","12.83"
"REGS","MH 2011","B","S","Assam","11.04","10.82","11.28","11.49","13.76","14.65","15.64","17.39","18.36","20.09","18.22","24.27"
"REGS","MH 2011","B","G","Bihar","34.23","30.71","25.51","28.68","30.00","33.37","30.15","44.60","53.87","55.28","61.89","71.17"
"REGS","MH 2011","B","G","Chattisgarh","0.00","2.49","7.47","6.38","7.01","7.98","10.86","9.94","11.21","12.46","14.82","17.67"
"REGS","MH 2011","B","UT","D NCT Delhi","2.79","3.35","3.28","3.85","3.85","4.19","4.69","4.88","6.30","7.37","8.46","10.38"
"REGS","MH 2011","B","G","Goa","1.58","3.41","4.32","3.87","4.50","5.19","6.01","6.88","7.47","9.12","11.77","12.84"
"REGS","MH 2011","B","G","Gujarat","6.95","7.11","7.21","5.56","7.10","7.93","8.80","9.79","10.31","11.74","16.86","18.72"
"REGS","MH 2011","B","G","Haryana","6.09","7.26","8.04","9.57","9.98","9.99","13.29","13.96","14.70","22.99","25.78","29.25"
"REGS","MH 2011","B","S","Himachal Pradesh","4.74","4.67","6.50","5.08","6.14","7.24","7.31","9.18","9.03","10.11","11.35","13.14"
"REGS","MH 2011","B","S","Jammu and Kashmir","6.41","8.51","8.71","8.58","9.46","8.76","11.85","15.35","16.59","16.24","19.23","23.08"
"REGS","MH 2011","B","G","Jharkhand","0.00","2.27","8.14","9.20","9.58","10.87","12.31","15.52","22.36","28.57","26.13","36.33"
"REGS","MH 2011","B","G","Karnataka","23.05","26.59","31.66","31.54","31.05","31.27","39.24","43.27","41.70","42.22","78.20","65.45"
"REGS","MH 2011","B","G","Kerala","13.64","13.47","12.90","15.13","18.29","18.84","21.21","22.26","27.62","30.17","32.81","35.69"
"REGS","MH 2011","B","G","Madhya Pradesh","16.25","16.62","15.20","21.03","19.57","20.17","22.69","22.32","23.69","27.02","33.87","40.13"
"REGS","MH 2011","B","G","Maharastra","28.32","35.05","31.35","35.93","38.56","34.26","42.35","47.80","49.17","51.90","55.13","100.23"
"REGS","MH 2011","B","S","Manipur","6.25","5.38","5.22","6.03","7.80","9.25","12.04","11.99","14.35","15.58","15.80","25.46"
"REGS","MH 2011","B","S","Meghalaya","3.94","8.87","8.77","11.22","25.22","27.58","33.42","34.04","37.32","31.78","31.03","30.48"
"REGS","MH 2011","B","S","Mizoram","5.56","5.44","5.41","5.69","5.47","8.14","6.50","6.69","6.97","10.81","8.80","11.70"
"REGS","MH 2011","B","S","Nagaland","4.21","4.76","5.26","6.23","5.77","5.83","7.03","8.14","11.28","9.02","9.96","12.98"
"REGS","MH 2011","B","G","Orissa","5.79","9.18","9.53","7.69","8.78","8.78","9.03","9.98","10.97","14.01","15.13","16.98"
"REGS","MH 2011","B","G","Punjab","6.55","7.52","6.88","7.87","10.50","12.89","16.26","14.13","15.06","15.64","18.19","25.19"
"REGS","MH 2011","B","G","Rajasthan","10.27","11.09","12.93","13.11","12.29","15.47","17.54","17.87","19.52","21.45","25.02","32.38"
"REGS","MH 2011","B","S","Sikkim","1.88","2.35","2.86","2.87","2.95","3.58","3.64","3.97","4.53","4.90","8.24","8.31"
"REGS","MH 2011","B","G","Tamil Nadu","10.51","11.30","10.91","12.61","11.54","11.29","17.98","15.81","18.14","22.04","27.39","33.23"
"REGS","MH 2011","B","S","Tripura","2.99","3.66","4.09","4.22","4.34","4.95","5.89","6.14","6.05","6.96","9.10","9.35"
"REGS","MH 2011","B","G","Uttar Pradesh","28.07","30.11","27.68","30.00","30.56","35.66","48.35","54.62","58.58","64.82","71.81","88.87"
