Station Name,Country,Stream URL,Timestamp,Duration (s),File Path
_Rai_Radio_1_Sport,Italy,http://icecdn-19d24861e90342cc8decb03c24c8a419.msvdn.net/icecastRelay/S74363317/iS9nek7QkZLI/icecast,2025-03-06 20:06:46,45.0,/Users/user/Downloads/radio_recordings/_Rai_Radio_1_Sport_20250306_200646.mp3
4_lobos_bollywood_radio,India,https://puma.streemlion.com:4130/stream,2025-03-06 19:55:41,45.0,/Users/user/Downloads/radio_recordings/4_lobos_bollywood_radio_20250306_195541.mp3
_Houston_Sports_Radio_610_KILT,United States of America,https://prod-3-238-150-237.amperwave.net/audacy-kiltfmaac-imc?session-id=7fe2bf09df4c2cc9a01b2febfa1cc295,2025-03-06 20:01:17,30.05,/Users/user/Downloads/radio_recordings/_Houston_Sports_Radio_610_KILT_20250306_200117.mp3
_Radio_Energy_Classic_(Italy),Italy,https://gmusto3.radioca.st/stream,2025-03-06 20:07:50,45.0,/Users/user/Downloads/radio_recordings/_Radio_Energy_Classic_(Italy)_20250306_200750.mp3
2B!_Radio_Sangam_Shri_Ram,India,http://dard.out.airtime.pro:8000/dard_a,2025-03-06 19:55:06,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Shri_Ram_20250306_195506.mp3
_Radio_Rouge_Italy,Italy,https://nl1.streamingpulse.com/ssl/radiorougeitaly,2025-03-06 20:06:05,45.0,/Users/user/Downloads/radio_recordings/_Radio_Rouge_Italy_20250306_200605.mp3
60sforever,India,https://stream-160.zeno.fm/btrks671ynhvv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJidHJrczY3MXluaHZ2IiwiaG9zdCI6InN0cmVhbS0xNjAuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IkdUMDNYRld4UkEtRjNqUE9sSlM5MkEiLCJpYXQiOjE3NDEyNjkxMjgsImV4cCI6MTc0MTI2OTE4OH0.01NSXs225McNKqiXs31EpY3-1sWPuHaLEPRHD3L5JVg,2025-03-06 19:56:58,45.0,/Users/user/Downloads/radio_recordings/60sforever_20250306_195658.mp3
2B!_Radio_Sangam_Meditation,India,http://djbeat.out.airtime.pro:8000/djbeat_a,2025-03-06 19:53:56,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Meditation_20250306_195356.mp3
2B!_Radio_Sangam_Shiva,India,http://hot.out.airtime.pro:8000/hot_a,2025-03-06 19:54:31,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Shiva_20250306_195431.mp3
_ESPN_1320_-_Sacramento,United States of America,https://prod-54-167-220-243.amperwave.net/audacy-kifmamaac-llhlsc.m3u8,2025-03-06 19:59:59,50.1,/Users/user/Downloads/radio_recordings/_ESPN_1320_-_Sacramento_20250306_195959.mp3
