Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,19.1,37,9.3
2025-01-30 01:00:00,17.9,60,8.5
2025-01-30 02:00:00,17.3,68,6.6
2025-01-30 03:00:00,17.8,68,3.8
2025-01-30 04:00:00,19.8,63,2.6
2025-01-30 05:00:00,22.4,56,3.3
2025-01-30 06:00:00,24.9,50,3.7
2025-01-30 07:00:00,27.1,42,3.7
2025-01-30 08:00:00,28.8,34,4.6
2025-01-30 09:00:00,29.7,29,6.1
2025-01-30 10:00:00,30.1,27,7.9
2025-01-30 11:00:00,29.9,25,9.6
2025-01-30 12:00:00,29.3,23,10.5
2025-01-30 13:00:00,28.1,27,8.6
2025-01-30 14:00:00,26.6,33,8.1
2025-01-30 15:00:00,25.7,34,8.1
2025-01-30 16:00:00,25.4,35,9.0
2025-01-30 17:00:00,24.6,36,8.1
2025-01-30 18:00:00,23.5,40,6.9
2025-01-30 19:00:00,22.5,43,7.0
2025-01-30 20:00:00,21.4,47,7.5
2025-01-30 21:00:00,20.6,51,7.6
2025-01-30 22:00:00,19.8,56,8.5
2025-01-30 23:00:00,19.0,59,8.9
2025-01-31 00:00:00,18.4,61,8.3
2025-01-31 01:00:00,17.8,69,6.7
2025-01-31 02:00:00,17.1,72,5.2
2025-01-31 03:00:00,17.5,70,2.4
2025-01-31 04:00:00,19.6,60,1.9
2025-01-31 05:00:00,22.5,47,2.1
2025-01-31 06:00:00,25.4,35,2.3
2025-01-31 07:00:00,27.3,27,3.2
2025-01-31 08:00:00,28.3,24,5.1
2025-01-31 09:00:00,28.9,23,7.3
2025-01-31 10:00:00,29.1,23,8.7
2025-01-31 11:00:00,28.9,23,9.2
2025-01-31 12:00:00,28.3,24,9.7
2025-01-31 13:00:00,27.1,25,9.1
2025-01-31 14:00:00,26.1,26,9.2
2025-01-31 15:00:00,25.3,26,9.1
2025-01-31 16:00:00,24.4,28,8.7
2025-01-31 17:00:00,23.5,30,7.9
2025-01-31 18:00:00,22.8,31,6.9
2025-01-31 19:00:00,21.6,34,9.1
2025-01-31 20:00:00,20.4,37,9.1
2025-01-31 21:00:00,19.6,37,8.8
2025-01-31 22:00:00,18.9,40,8.5
2025-01-31 23:00:00,18.2,45,8.0
2025-02-01 00:00:00,17.5,51,7.9
2025-02-01 01:00:00,17.0,66,8.1
2025-02-01 02:00:00,16.5,69,7.7
2025-02-01 03:00:00,16.9,66,5.9
2025-02-01 04:00:00,18.5,55,6.6
2025-02-01 05:00:00,20.8,45,5.4
2025-02-01 06:00:00,23.2,35,4.4
2025-02-01 07:00:00,25.1,28,4.5
2025-02-01 08:00:00,26.5,24,5.3
2025-02-01 09:00:00,27.3,22,6.4
2025-02-01 10:00:00,27.6,20,6.5
2025-02-01 11:00:00,27.6,19,6.2
2025-02-01 12:00:00,27.2,20,6.3
2025-02-01 13:00:00,26.2,23,6.2
2025-02-01 14:00:00,25.0,25,6.0
2025-02-01 15:00:00,23.8,28,5.9
2025-02-01 16:00:00,22.8,30,7.0
2025-02-01 17:00:00,21.8,31,8.0
2025-02-01 18:00:00,20.9,30,9.2
2025-02-01 19:00:00,20.0,30,9.4
2025-02-01 20:00:00,19.3,31,9.3
2025-02-01 21:00:00,18.8,31,8.2
2025-02-01 22:00:00,18.4,32,8.2
2025-02-01 23:00:00,17.9,33,7.7
2025-02-02 00:00:00,16.9,36,6.3
2025-02-02 01:00:00,16.3,47,5.6
2025-02-02 02:00:00,15.9,51,5.2
2025-02-02 03:00:00,16.5,51,4.5
2025-02-02 04:00:00,19.2,42,2.6
2025-02-02 05:00:00,22.3,31,3.5
2025-02-02 06:00:00,24.4,25,4.6
2025-02-02 07:00:00,25.8,22,4.1
2025-02-02 08:00:00,27.0,20,2.7
2025-02-02 09:00:00,27.9,18,1.7
2025-02-02 10:00:00,28.4,17,1.1
2025-02-02 11:00:00,28.5,16,1.0
2025-02-02 12:00:00,28.1,16,1.7
2025-02-02 13:00:00,26.7,18,3.0
2025-02-02 14:00:00,25.5,23,4.0
2025-02-02 15:00:00,25.1,26,4.1
2025-02-02 16:00:00,24.8,28,4.1
2025-02-02 17:00:00,24.3,29,4.0
2025-02-02 18:00:00,23.7,30,4.3
2025-02-02 19:00:00,22.8,32,5.5
2025-02-02 20:00:00,22.1,33,4.9
2025-02-02 21:00:00,21.4,34,3.6
2025-02-02 22:00:00,20.7,36,3.6
2025-02-02 23:00:00,20.1,37,4.5
2025-02-03 00:00:00,19.6,39,4.5
2025-02-03 01:00:00,19.5,43,3.3
2025-02-03 02:00:00,19.2,44,2.1
2025-02-03 03:00:00,19.7,43,0.5
2025-02-03 04:00:00,22.1,36,0.9
2025-02-03 05:00:00,24.9,28,0.8
2025-02-03 06:00:00,27.1,23,1.5
2025-02-03 07:00:00,28.7,20,4.2
2025-02-03 08:00:00,29.6,19,6.8
2025-02-03 09:00:00,30.1,19,8.5
2025-02-03 10:00:00,30.3,19,8.4
2025-02-03 11:00:00,29.9,19,7.6
2025-02-03 12:00:00,29.5,19,7.9
2025-02-03 13:00:00,28.3,21,8.5
2025-02-03 14:00:00,27.1,24,7.1
2025-02-03 15:00:00,25.7,28,7.0
2025-02-03 16:00:00,24.7,32,7.1
2025-02-03 17:00:00,23.8,34,7.3
2025-02-03 18:00:00,23.2,34,7.0
2025-02-03 19:00:00,22.9,34,6.3
2025-02-03 20:00:00,22.4,36,5.3
2025-02-03 21:00:00,21.9,38,5.2
2025-02-03 22:00:00,21.3,40,4.5
2025-02-03 23:00:00,20.6,43,4.4
2025-02-04 00:00:00,19.8,47,7.2
2025-02-04 01:00:00,19.4,53,9.1
2025-02-04 02:00:00,19.0,52,9.0
2025-02-04 03:00:00,19.8,48,6.4
2025-02-04 04:00:00,21.8,41,4.1
2025-02-04 05:00:00,24.4,33,4.8
2025-02-04 06:00:00,26.4,27,7.5
2025-02-04 07:00:00,27.5,23,9.8
2025-02-04 08:00:00,28.2,20,10.2
2025-02-04 09:00:00,28.6,18,10.7
2025-02-04 10:00:00,28.7,17,11.2
2025-02-04 11:00:00,28.3,18,11.0
2025-02-04 12:00:00,27.7,18,11.1
2025-02-04 13:00:00,26.6,20,9.8
2025-02-04 14:00:00,25.0,24,10.3
2025-02-04 15:00:00,23.8,26,9.9
2025-02-04 16:00:00,22.4,28,9.2
2025-02-04 17:00:00,21.1,30,9.5
2025-02-04 18:00:00,20.4,31,10.2
2025-02-04 19:00:00,19.6,32,10.2
2025-02-04 20:00:00,19.0,33,10.0
2025-02-04 21:00:00,18.4,34,9.9
2025-02-04 22:00:00,18.0,36,10.4
2025-02-04 23:00:00,17.4,38,9.6
2025-02-05 00:00:00,16.8,40,10.0
2025-02-05 01:00:00,15.9,46,6.8
2025-02-05 02:00:00,15.3,49,7.1
2025-02-05 03:00:00,15.9,47,5.7
2025-02-05 04:00:00,18.5,38,4.8
2025-02-05 05:00:00,21.4,29,5.8
2025-02-05 06:00:00,24.0,23,7.7
2025-02-05 07:00:00,25.8,19,10.2
2025-02-05 08:00:00,26.8,17,9.4
2025-02-05 09:00:00,27.6,17,8.0
2025-02-05 10:00:00,27.9,17,7.1
2025-02-05 11:00:00,27.9,17,6.9
2025-02-05 12:00:00,27.5,17,6.6
2025-02-05 13:00:00,26.4,19,7.6
2025-02-05 14:00:00,25.8,20,5.2
2025-02-05 15:00:00,25.0,21,5.2
2025-02-05 16:00:00,23.9,23,8.1
2025-02-05 17:00:00,22.6,26,9.0
2025-02-05 18:00:00,21.2,29,9.6
2025-02-05 19:00:00,19.8,31,10.3
2025-02-05 20:00:00,18.8,31,11.1
2025-02-05 21:00:00,18.2,32,11.6
2025-02-05 22:00:00,17.7,34,11.6
