Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,16.0,84,7.6
2025-01-30 01:00:00,16.2,96,8.6
2025-01-30 02:00:00,16.3,92,8.5
2025-01-30 03:00:00,17.8,82,6.6
2025-01-30 04:00:00,20.9,66,6.3
2025-01-30 05:00:00,24.0,52,6.2
2025-01-30 06:00:00,26.1,46,6.8
2025-01-30 07:00:00,27.5,46,7.5
2025-01-30 08:00:00,28.7,42,7.2
2025-01-30 09:00:00,29.2,39,7.8
2025-01-30 10:00:00,29.2,38,7.9
2025-01-30 11:00:00,28.7,39,8.2
2025-01-30 12:00:00,27.5,41,9.8
2025-01-30 13:00:00,26.1,46,9.5
2025-01-30 14:00:00,24.8,55,9.8
2025-01-30 15:00:00,24.0,58,10.2
2025-01-30 16:00:00,23.0,63,10.5
2025-01-30 17:00:00,22.2,69,10.0
2025-01-30 18:00:00,21.5,72,8.3
2025-01-30 19:00:00,20.8,74,7.6
2025-01-30 20:00:00,20.0,80,7.1
2025-01-30 21:00:00,19.1,89,8.3
2025-01-30 22:00:00,18.4,96,8.8
2025-01-30 23:00:00,18.4,99,9.6
2025-01-31 00:00:00,18.4,98,7.0
2025-01-31 01:00:00,19.1,96,8.2
2025-01-31 02:00:00,19.4,92,7.9
2025-01-31 03:00:00,20.9,82,7.7
2025-01-31 04:00:00,23.7,65,6.5
2025-01-31 05:00:00,26.6,46,6.4
2025-01-31 06:00:00,28.4,36,7.5
2025-01-31 07:00:00,29.6,33,8.2
2025-01-31 08:00:00,30.2,33,9.4
2025-01-31 09:00:00,30.4,33,9.7
2025-01-31 10:00:00,30.2,34,9.6
2025-01-31 11:00:00,29.5,35,10.1
2025-01-31 12:00:00,28.7,39,10.7
2025-01-31 13:00:00,27.2,42,9.1
2025-01-31 14:00:00,26.0,47,9.1
2025-01-31 15:00:00,25.1,50,8.4
2025-01-31 16:00:00,24.1,54,9.5
2025-01-31 17:00:00,22.9,63,10.9
2025-01-31 18:00:00,22.2,69,10.7
2025-01-31 19:00:00,20.9,81,12.5
2025-01-31 20:00:00,19.8,94,11.8
2025-01-31 21:00:00,19.4,99,12.0
2025-01-31 22:00:00,19.3,98,10.3
2025-01-31 23:00:00,19.3,96,9.9
2025-02-01 00:00:00,19.3,95,8.9
2025-02-01 01:00:00,19.8,91,7.7
2025-02-01 02:00:00,19.9,89,7.3
2025-02-01 03:00:00,21.2,81,8.5
2025-02-01 04:00:00,23.7,66,7.2
2025-02-01 05:00:00,26.0,53,5.8
2025-02-01 06:00:00,28.2,40,7.1
2025-02-01 07:00:00,29.3,34,9.5
2025-02-01 08:00:00,30.1,29,10.2
2025-02-01 09:00:00,30.4,26,11.0
2025-02-01 10:00:00,30.3,24,11.2
2025-02-01 11:00:00,29.6,24,11.4
2025-02-01 12:00:00,28.6,25,10.9
2025-02-01 13:00:00,27.6,33,8.6
2025-02-01 14:00:00,27.0,34,7.8
2025-02-01 15:00:00,25.8,35,6.5
2025-02-01 16:00:00,23.8,40,9.4
2025-02-01 17:00:00,23.0,46,10.3
2025-02-01 18:00:00,22.7,48,11.0
2025-02-01 19:00:00,22.0,51,12.1
2025-02-01 20:00:00,20.5,58,11.8
2025-02-01 21:00:00,19.1,72,11.4
2025-02-01 22:00:00,18.2,85,11.1
2025-02-01 23:00:00,17.8,92,10.1
2025-02-02 00:00:00,17.4,97,8.6
2025-02-02 01:00:00,17.6,98,6.0
2025-02-02 02:00:00,18.3,91,6.0
2025-02-02 03:00:00,20.0,79,5.6
2025-02-02 04:00:00,22.8,63,4.3
2025-02-02 05:00:00,26.0,41,4.5
2025-02-02 06:00:00,28.3,26,6.3
2025-02-02 07:00:00,29.7,21,6.9
2025-02-02 08:00:00,30.6,18,8.0
2025-02-02 09:00:00,30.9,16,9.7
2025-02-02 10:00:00,30.6,15,11.0
2025-02-02 11:00:00,29.8,15,11.6
2025-02-02 12:00:00,28.6,19,11.8
2025-02-02 13:00:00,27.6,21,7.9
2025-02-02 14:00:00,26.5,25,7.6
2025-02-02 15:00:00,25.0,29,7.8
2025-02-02 16:00:00,23.2,37,8.5
2025-02-02 17:00:00,22.2,41,9.5
2025-02-02 18:00:00,21.2,44,10.3
