Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,16.3,77,9.7
2025-01-30 01:00:00,15.7,80,9.0
2025-01-30 02:00:00,15.8,73,11.2
2025-01-30 03:00:00,17.9,65,11.0
2025-01-30 04:00:00,20.9,56,7.9
2025-01-30 05:00:00,23.9,44,8.4
2025-01-30 06:00:00,26.0,32,9.7
2025-01-30 07:00:00,27.2,24,10.5
2025-01-30 08:00:00,27.8,21,10.4
2025-01-30 09:00:00,27.9,22,10.6
2025-01-30 10:00:00,27.7,24,10.5
2025-01-30 11:00:00,26.9,27,10.5
2025-01-30 12:00:00,24.6,37,6.1
2025-01-30 13:00:00,22.4,38,7.4
2025-01-30 14:00:00,20.5,45,5.9
2025-01-30 15:00:00,18.7,53,4.6
2025-01-30 16:00:00,17.8,63,6.4
2025-01-30 17:00:00,17.5,66,5.7
2025-01-30 18:00:00,17.0,68,5.2
2025-01-30 19:00:00,16.6,70,5.3
2025-01-30 20:00:00,16.2,71,6.6
2025-01-30 21:00:00,16.5,62,8.5
2025-01-30 22:00:00,15.9,60,8.7
2025-01-30 23:00:00,15.1,61,8.2
2025-01-31 00:00:00,14.8,61,7.8
2025-01-31 01:00:00,14.2,66,6.8
2025-01-31 02:00:00,14.6,65,7.2
2025-01-31 03:00:00,17.3,58,6.7
2025-01-31 04:00:00,20.5,50,2.3
2025-01-31 05:00:00,23.1,42,2.8
2025-01-31 06:00:00,25.0,35,5.3
2025-01-31 07:00:00,26.3,32,8.0
2025-01-31 08:00:00,27.1,30,8.7
2025-01-31 09:00:00,27.6,30,9.6
2025-01-31 10:00:00,27.5,31,9.7
2025-01-31 11:00:00,26.9,33,8.6
2025-01-31 12:00:00,24.9,42,5.8
2025-01-31 13:00:00,22.4,49,7.9
2025-01-31 14:00:00,20.9,56,7.3
2025-01-31 15:00:00,20.1,60,7.6
2025-01-31 16:00:00,19.1,65,6.2
2025-01-31 17:00:00,18.7,65,6.5
2025-01-31 18:00:00,18.6,61,7.8
2025-01-31 19:00:00,18.7,57,8.9
2025-01-31 20:00:00,18.1,58,8.5
2025-01-31 21:00:00,17.9,58,10.5
2025-01-31 22:00:00,17.1,61,11.6
2025-01-31 23:00:00,15.7,68,10.3
2025-02-01 00:00:00,14.9,75,7.2
2025-02-01 01:00:00,14.3,82,5.9
2025-02-01 02:00:00,14.7,81,5.4
2025-02-01 03:00:00,17.4,69,5.7
2025-02-01 04:00:00,20.8,55,3.3
2025-02-01 05:00:00,23.4,45,4.0
2025-02-01 06:00:00,25.0,40,6.0
2025-02-01 07:00:00,26.0,37,7.6
2025-02-01 08:00:00,26.7,35,7.6
2025-02-01 09:00:00,27.2,34,8.0
2025-02-01 10:00:00,27.2,33,8.2
2025-02-01 11:00:00,26.7,34,7.6
2025-02-01 12:00:00,25.0,40,6.9
2025-02-01 13:00:00,23.2,41,8.5
2025-02-01 14:00:00,21.8,46,6.5
2025-02-01 15:00:00,20.3,52,6.1
2025-02-01 16:00:00,19.2,55,5.4
2025-02-01 17:00:00,18.4,55,5.4
2025-02-01 18:00:00,17.7,55,5.7
2025-02-01 19:00:00,17.1,57,5.6
2025-02-01 20:00:00,16.8,58,5.4
2025-02-01 21:00:00,16.3,59,6.0
2025-02-01 22:00:00,16.0,60,5.4
2025-02-01 23:00:00,15.7,61,5.6
2025-02-02 00:00:00,15.4,62,5.9
2025-02-02 01:00:00,14.9,66,5.9
2025-02-02 02:00:00,15.2,67,5.3
2025-02-02 03:00:00,17.9,58,6.4
2025-02-02 04:00:00,20.9,47,4.5
2025-02-02 05:00:00,23.6,38,7.2
2025-02-02 06:00:00,25.1,34,7.3
2025-02-02 07:00:00,26.0,33,6.0
2025-02-02 08:00:00,26.7,33,4.5
2025-02-02 09:00:00,27.1,33,3.2
2025-02-02 10:00:00,27.1,33,3.1
2025-02-02 11:00:00,26.7,35,4.3
2025-02-02 12:00:00,25.2,40,6.6
2025-02-02 13:00:00,23.3,45,5.9
2025-02-02 14:00:00,22.3,49,7.0
2025-02-02 15:00:00,21.4,51,6.1
2025-02-02 16:00:00,20.6,54,5.9
2025-02-02 17:00:00,19.9,58,4.5
2025-02-02 18:00:00,19.2,60,5.0
2025-02-02 19:00:00,18.6,61,5.0
2025-02-02 20:00:00,18.0,61,5.8
2025-02-02 21:00:00,17.7,62,6.2
2025-02-02 22:00:00,17.1,64,6.1
2025-02-02 23:00:00,16.7,65,6.0
2025-02-03 00:00:00,16.3,68,5.6
2025-02-03 01:00:00,16.8,67,6.7
2025-02-03 02:00:00,17.1,67,7.9
2025-02-03 03:00:00,19.0,63,8.1
2025-02-03 04:00:00,21.7,53,7.2
2025-02-03 05:00:00,24.5,47,7.3
2025-02-03 06:00:00,26.7,44,7.4
2025-02-03 07:00:00,28.3,43,7.8
2025-02-03 08:00:00,29.6,41,9.2
2025-02-03 09:00:00,30.6,35,11.4
2025-02-03 10:00:00,30.4,35,13.2
2025-02-03 11:00:00,29.8,36,12.1
2025-02-03 12:00:00,28.2,43,7.8
2025-02-03 13:00:00,25.4,52,6.1
2025-02-03 14:00:00,24.4,56,7.9
2025-02-03 15:00:00,23.5,60,7.1
2025-02-03 16:00:00,22.6,63,6.4
2025-02-03 17:00:00,22.3,62,6.9
2025-02-03 18:00:00,21.9,61,6.6
2025-02-03 19:00:00,21.7,60,6.5
2025-02-03 20:00:00,20.6,65,0.9
2025-02-03 21:00:00,18.8,74,5.4
2025-02-03 22:00:00,18.8,76,5.3
2025-02-03 23:00:00,18.7,78,3.3
2025-02-04 00:00:00,18.5,79,2.5
2025-02-04 01:00:00,17.9,89,4.6
2025-02-04 02:00:00,18.3,89,3.2
2025-02-04 03:00:00,21.1,76,5.2
2025-02-04 04:00:00,23.7,64,5.3
2025-02-04 05:00:00,26.3,54,4.9
2025-02-04 06:00:00,28.2,48,4.6
2025-02-04 07:00:00,29.5,44,5.9
2025-02-04 08:00:00,30.4,39,10.3
2025-02-04 09:00:00,30.5,35,15.3
2025-02-04 10:00:00,29.9,35,15.1
2025-02-04 11:00:00,29.4,36,15.0
2025-02-04 12:00:00,28.0,41,8.6
2025-02-04 13:00:00,25.0,51,4.8
2025-02-04 14:00:00,24.2,58,8.6
2025-02-04 15:00:00,23.2,69,8.1
2025-02-04 16:00:00,22.3,70,8.2
2025-02-04 17:00:00,21.9,63,10.1
2025-02-04 18:00:00,21.4,59,12.0
2025-02-04 19:00:00,20.7,58,12.2
2025-02-04 20:00:00,19.7,59,12.2
2025-02-04 21:00:00,18.9,62,12.5
2025-02-04 22:00:00,18.3,67,12.9
2025-02-04 23:00:00,17.7,75,11.9
2025-02-05 00:00:00,17.1,81,10.8
2025-02-05 01:00:00,16.2,91,10.3
2025-02-05 02:00:00,16.3,91,10.3
2025-02-05 03:00:00,18.0,82,8.7
2025-02-05 04:00:00,20.5,68,8.7
2025-02-05 05:00:00,22.7,55,9.4
2025-02-05 06:00:00,24.3,47,8.9
2025-02-05 07:00:00,25.4,43,7.4
2025-02-05 08:00:00,26.2,40,6.5
2025-02-05 09:00:00,26.7,38,6.4
2025-02-05 10:00:00,26.9,36,7.9
2025-02-05 11:00:00,26.3,35,9.2
2025-02-05 12:00:00,25.0,39,9.5
2025-02-05 13:00:00,22.7,46,6.1
2025-02-05 14:00:00,21.7,47,8.5
2025-02-05 15:00:00,20.9,46,11.0
2025-02-05 16:00:00,20.2,47,11.7
2025-02-05 17:00:00,19.1,51,12.0
2025-02-05 18:00:00,18.0,53,11.4
2025-02-05 19:00:00,17.1,56,10.9
2025-02-05 20:00:00,16.5,59,11.9
2025-02-05 21:00:00,15.8,59,13.1
2025-02-05 22:00:00,15.2,56,13.9
2025-02-05 23:00:00,14.5,53,14.6
2025-02-06 00:00:00,14.0,51,14.7
2025-02-06 01:00:00,13.1,59,14.5
2025-02-06 02:00:00,13.0,59,13.6
2025-02-06 03:00:00,14.5,52,12.6
2025-02-06 04:00:00,16.7,42,14.7
2025-02-06 05:00:00,18.9,35,15.7
2025-02-06 06:00:00,20.6,30,16.3
2025-02-06 07:00:00,21.8,29,15.3
2025-02-06 08:00:00,22.6,27,13.9
2025-02-06 09:00:00,23.0,27,12.6
