Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,23.0,81,8.0
2025-01-30 01:00:00,23.5,84,7.0
2025-01-30 02:00:00,23.6,82,6.6
2025-01-30 03:00:00,25.6,73,7.3
2025-01-30 04:00:00,27.6,66,7.4
2025-01-30 05:00:00,29.3,58,7.6
2025-01-30 06:00:00,30.3,54,9.0
2025-01-30 07:00:00,30.7,54,11.2
2025-01-30 08:00:00,30.6,55,12.7
2025-01-30 09:00:00,30.0,58,14.8
2025-01-30 10:00:00,28.8,62,15.2
2025-01-30 11:00:00,27.9,66,13.3
2025-01-30 12:00:00,26.9,72,12.1
2025-01-30 13:00:00,26.0,81,10.0
2025-01-30 14:00:00,25.8,84,10.3
2025-01-30 15:00:00,25.7,85,11.1
2025-01-30 16:00:00,25.6,84,10.9
2025-01-30 17:00:00,25.6,84,10.3
2025-01-30 18:00:00,25.4,85,10.0
2025-01-30 19:00:00,25.3,86,9.6
2025-01-30 20:00:00,25.2,87,8.1
2025-01-30 21:00:00,24.5,91,3.1
2025-01-30 22:00:00,24.0,94,0.6
2025-01-30 23:00:00,23.5,96,2.8
2025-01-31 00:00:00,23.0,97,4.4
2025-01-31 01:00:00,23.6,98,1.3
2025-01-31 02:00:00,24.2,95,2.3
2025-01-31 03:00:00,25.8,85,3.2
2025-01-31 04:00:00,27.9,72,6.2
2025-01-31 05:00:00,29.2,66,9.0
2025-01-31 06:00:00,29.9,63,11.0
2025-01-31 07:00:00,30.0,62,12.3
2025-01-31 08:00:00,30.0,62,13.0
2025-01-31 09:00:00,29.7,64,13.5
2025-01-31 10:00:00,29.4,66,13.4
2025-01-31 11:00:00,28.5,70,14.1
2025-01-31 12:00:00,27.4,76,12.5
2025-01-31 13:00:00,26.9,84,9.9
2025-01-31 14:00:00,26.6,86,8.3
2025-01-31 15:00:00,26.3,88,7.7
2025-01-31 16:00:00,26.2,88,8.6
2025-01-31 17:00:00,26.0,89,9.0
2025-01-31 18:00:00,25.7,90,8.9
2025-01-31 19:00:00,25.5,91,8.8
2025-01-31 20:00:00,25.2,93,7.9
2025-01-31 21:00:00,25.0,94,6.4
2025-01-31 22:00:00,24.3,96,3.2
2025-01-31 23:00:00,24.1,96,1.5
2025-02-01 00:00:00,23.9,98,0.6
2025-02-01 01:00:00,24.6,96,3.5
2025-02-01 02:00:00,25.2,94,3.7
2025-02-01 03:00:00,26.7,85,5.3
2025-02-01 04:00:00,28.3,71,5.6
2025-02-01 05:00:00,29.5,61,6.8
2025-02-01 06:00:00,30.2,58,8.3
2025-02-01 07:00:00,30.5,56,9.9
2025-02-01 08:00:00,30.3,57,10.8
2025-02-01 09:00:00,29.8,60,11.0
2025-02-01 10:00:00,29.2,64,11.4
2025-02-01 11:00:00,28.4,68,10.1
2025-02-01 12:00:00,27.4,74,9.8
2025-02-01 13:00:00,26.6,81,10.4
