Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,11.1,92,6.9
2025-01-30 01:00:00,10.9,94,6.3
2025-01-30 02:00:00,10.7,94,6.0
2025-01-30 03:00:00,12.1,87,5.7
2025-01-30 04:00:00,15.1,73,3.6
2025-01-30 05:00:00,18.2,61,4.4
2025-01-30 06:00:00,20.8,52,5.5
2025-01-30 07:00:00,22.5,46,5.6
2025-01-30 08:00:00,23.7,42,5.4
2025-01-30 09:00:00,24.4,39,5.1
2025-01-30 10:00:00,24.5,39,5.5
2025-01-30 11:00:00,24.0,41,6.0
2025-01-30 12:00:00,22.6,47,7.1
2025-01-30 13:00:00,21.0,59,8.7
2025-01-30 14:00:00,19.7,66,7.5
2025-01-30 15:00:00,18.8,72,6.4
2025-01-30 16:00:00,17.6,79,5.3
2025-01-30 17:00:00,16.5,85,3.9
2025-01-30 18:00:00,15.4,91,2.8
2025-01-30 19:00:00,14.2,97,4.3
2025-01-30 20:00:00,13.4,99,5.3
2025-01-30 21:00:00,13.0,98,4.7
2025-01-30 22:00:00,12.6,97,4.7
2025-01-30 23:00:00,12.0,97,4.2
2025-01-31 00:00:00,11.5,97,4.1
2025-01-31 01:00:00,10.7,100,4.8
2025-01-31 02:00:00,10.6,100,4.1
2025-01-31 03:00:00,11.7,97,3.9
2025-01-31 04:00:00,14.5,87,3.9
2025-01-31 05:00:00,17.9,71,3.2
2025-01-31 06:00:00,21.5,58,3.8
2025-01-31 07:00:00,23.7,49,3.4
2025-01-31 08:00:00,25.2,35,3.6
2025-01-31 09:00:00,25.9,28,4.5
2025-01-31 10:00:00,25.9,26,6.6
2025-01-31 11:00:00,25.4,26,9.1
2025-01-31 12:00:00,24.1,31,9.6
2025-01-31 13:00:00,22.3,37,5.8
2025-01-31 14:00:00,20.3,51,1.7
2025-01-31 15:00:00,18.9,58,0.4
2025-01-31 16:00:00,17.8,64,3.0
2025-01-31 17:00:00,16.8,74,6.6
2025-01-31 18:00:00,16.4,79,5.1
2025-01-31 19:00:00,15.9,81,6.5
2025-01-31 20:00:00,15.2,81,7.0
2025-01-31 21:00:00,14.5,80,7.4
2025-01-31 22:00:00,14.2,79,7.6
2025-01-31 23:00:00,13.8,82,6.8
2025-02-01 00:00:00,13.6,83,7.1
2025-02-01 01:00:00,11.8,94,5.1
2025-02-01 02:00:00,11.9,94,5.1
2025-02-01 03:00:00,13.5,86,4.9
2025-02-01 04:00:00,16.7,72,2.7
2025-02-01 05:00:00,20.0,59,3.4
2025-02-01 06:00:00,22.6,48,4.8
2025-02-01 07:00:00,24.3,39,6.4
2025-02-01 08:00:00,25.2,34,6.6
2025-02-01 09:00:00,25.2,33,6.2
2025-02-01 10:00:00,25.1,33,6.3
2025-02-01 11:00:00,24.5,35,7.2
2025-02-01 12:00:00,23.3,38,7.2
2025-02-01 13:00:00,21.0,57,3.1
2025-02-01 14:00:00,19.8,64,4.0
2025-02-01 15:00:00,19.1,67,4.3
2025-02-01 16:00:00,18.4,68,9.0
2025-02-01 17:00:00,16.9,81,11.9
2025-02-01 18:00:00,16.4,82,11.1
2025-02-01 19:00:00,15.7,82,10.1
2025-02-01 20:00:00,14.7,86,9.8
2025-02-01 21:00:00,14.2,87,9.1
2025-02-01 22:00:00,14.1,86,7.9
2025-02-01 23:00:00,14.1,85,7.0
2025-02-02 00:00:00,13.8,86,7.1
2025-02-02 01:00:00,13.4,92,7.6
2025-02-02 02:00:00,13.3,92,8.5
2025-02-02 03:00:00,14.7,86,8.1
2025-02-02 04:00:00,16.9,75,5.6
2025-02-02 05:00:00,19.4,64,5.8
