Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,18.9,77,8.1
2025-01-30 01:00:00,19.2,80,8.0
2025-01-30 02:00:00,19.4,79,8.6
2025-01-30 03:00:00,21.6,71,6.3
2025-01-30 04:00:00,24.4,60,9.0
2025-01-30 05:00:00,26.5,49,9.9
2025-01-30 06:00:00,28.0,42,9.2
2025-01-30 07:00:00,29.2,37,7.0
2025-01-30 08:00:00,30.1,34,6.3
2025-01-30 09:00:00,30.6,32,6.2
2025-01-30 10:00:00,30.8,31,6.2
2025-01-30 11:00:00,30.5,31,6.5
2025-01-30 12:00:00,29.7,33,7.7
2025-01-30 13:00:00,27.3,36,9.9
2025-01-30 14:00:00,25.5,45,10.7
2025-01-30 15:00:00,24.0,51,7.9
2025-01-30 16:00:00,23.1,54,8.1
2025-01-30 17:00:00,22.4,55,8.6
2025-01-30 18:00:00,22.0,56,7.5
2025-01-30 19:00:00,21.6,58,5.8
2025-01-30 20:00:00,20.9,61,6.3
2025-01-30 21:00:00,20.6,61,8.2
2025-01-30 22:00:00,20.2,61,6.3
2025-01-30 23:00:00,20.0,61,5.1
2025-01-31 00:00:00,19.8,62,5.6
2025-01-31 01:00:00,19.6,73,7.0
2025-01-31 02:00:00,19.6,73,7.4
2025-01-31 03:00:00,21.9,64,4.2
2025-01-31 04:00:00,25.6,50,4.0
2025-01-31 05:00:00,28.3,36,5.4
2025-01-31 06:00:00,29.9,31,4.6
2025-01-31 07:00:00,31.0,27,4.3
2025-01-31 08:00:00,31.8,24,5.2
2025-01-31 09:00:00,32.2,24,7.0
2025-01-31 10:00:00,31.9,25,8.9
2025-01-31 11:00:00,31.3,26,9.7
2025-01-31 12:00:00,30.1,30,11.3
2025-01-31 13:00:00,28.3,40,12.6
2025-01-31 14:00:00,26.7,46,11.7
2025-01-31 15:00:00,25.9,49,12.7
2025-01-31 16:00:00,25.0,52,10.1
2025-01-31 17:00:00,24.0,56,8.2
2025-01-31 18:00:00,23.3,58,7.7
2025-01-31 19:00:00,22.7,60,7.1
2025-01-31 20:00:00,22.3,60,7.4
2025-01-31 21:00:00,22.0,60,6.5
2025-01-31 22:00:00,21.6,61,5.9
2025-01-31 23:00:00,21.2,62,6.3
2025-02-01 00:00:00,20.7,64,6.8
2025-02-01 01:00:00,20.6,72,7.5
2025-02-01 02:00:00,20.8,71,8.8
2025-02-01 03:00:00,23.1,63,5.5
2025-02-01 04:00:00,26.2,54,7.0
2025-02-01 05:00:00,28.9,37,8.3
2025-02-01 06:00:00,30.6,28,9.1
2025-02-01 07:00:00,31.6,23,9.2
2025-02-01 08:00:00,32.0,22,8.8
2025-02-01 09:00:00,32.1,23,8.1
2025-02-01 10:00:00,31.9,24,8.9
2025-02-01 11:00:00,31.3,25,9.5
2025-02-01 12:00:00,30.2,27,10.3
2025-02-01 13:00:00,28.4,30,12.1
2025-02-01 14:00:00,26.7,36,10.6
2025-02-01 15:00:00,25.7,38,10.1
2025-02-01 16:00:00,25.4,39,10.4
2025-02-01 17:00:00,24.7,40,9.7
2025-02-01 18:00:00,23.6,45,8.6
2025-02-01 19:00:00,23.0,48,8.0
2025-02-01 20:00:00,22.6,50,7.3
2025-02-01 21:00:00,22.4,49,8.2
2025-02-01 22:00:00,22.0,48,7.8
2025-02-01 23:00:00,21.5,50,7.1
2025-02-02 00:00:00,21.2,52,7.0
2025-02-02 01:00:00,21.2,66,7.7
2025-02-02 02:00:00,21.5,64,8.6
2025-02-02 03:00:00,23.7,55,6.2
2025-02-02 04:00:00,26.8,43,7.8
2025-02-02 05:00:00,28.8,34,9.2
2025-02-02 06:00:00,30.2,30,7.7
2025-02-02 07:00:00,31.3,27,6.9
2025-02-02 08:00:00,31.9,25,7.2
2025-02-02 09:00:00,32.2,25,7.8
2025-02-02 10:00:00,32.1,25,8.7
2025-02-02 11:00:00,31.4,27,10.3
2025-02-02 12:00:00,30.0,31,11.9
2025-02-02 13:00:00,28.5,35,11.4
2025-02-02 14:00:00,27.1,41,10.1
2025-02-02 15:00:00,25.8,45,9.1
2025-02-02 16:00:00,25.0,47,8.0
2025-02-02 17:00:00,24.5,48,8.0
2025-02-02 18:00:00,24.0,48,6.7
2025-02-02 19:00:00,23.7,48,6.7
2025-02-02 20:00:00,22.8,50,6.4
2025-02-02 21:00:00,22.2,52,8.0
2025-02-02 22:00:00,21.6,53,6.2
2025-02-02 23:00:00,21.1,54,5.6
2025-02-03 00:00:00,20.6,56,5.4
2025-02-03 01:00:00,20.2,65,5.6
2025-02-03 02:00:00,20.2,64,5.9
2025-02-03 03:00:00,23.3,52,3.4
2025-02-03 04:00:00,27.0,39,3.0
2025-02-03 05:00:00,29.2,30,5.3
2025-02-03 06:00:00,30.5,28,8.2
2025-02-03 07:00:00,31.3,27,9.8
2025-02-03 08:00:00,31.8,26,10.4
2025-02-03 09:00:00,32.1,24,10.7
2025-02-03 10:00:00,31.9,25,11.0
2025-02-03 11:00:00,31.3,27,11.4
2025-02-03 12:00:00,30.0,31,11.6
2025-02-03 13:00:00,28.4,36,10.8
2025-02-03 14:00:00,27.2,41,10.1
2025-02-03 15:00:00,26.2,42,8.9
2025-02-03 16:00:00,25.7,43,9.3
2025-02-03 17:00:00,24.8,45,9.1
2025-02-03 18:00:00,23.8,48,6.7
2025-02-03 19:00:00,22.7,51,7.0
2025-02-03 20:00:00,21.5,56,7.2
2025-02-03 21:00:00,21.1,57,7.4
2025-02-03 22:00:00,20.5,61,7.0
2025-02-03 23:00:00,19.7,66,6.7
2025-02-04 00:00:00,19.1,70,7.1
2025-02-04 01:00:00,19.3,71,7.2
2025-02-04 02:00:00,19.5,69,7.4
2025-02-04 03:00:00,22.7,55,5.5
2025-02-04 04:00:00,26.6,41,3.8
2025-02-04 05:00:00,29.6,30,5.2
2025-02-04 06:00:00,31.2,24,6.0
2025-02-04 07:00:00,32.2,21,7.2
2025-02-04 08:00:00,32.7,20,8.1
2025-02-04 09:00:00,32.9,22,8.7
2025-02-04 10:00:00,32.6,24,9.6
2025-02-04 11:00:00,32.0,25,9.4
2025-02-04 12:00:00,30.9,27,10.4
2025-02-04 13:00:00,29.1,35,12.0
2025-02-04 14:00:00,27.5,42,10.9
2025-02-04 15:00:00,26.6,44,9.7
2025-02-04 16:00:00,26.0,45,8.9
2025-02-04 17:00:00,25.4,47,8.4
2025-02-04 18:00:00,24.6,49,7.3
2025-02-04 19:00:00,23.9,52,7.7
2025-02-04 20:00:00,23.6,52,8.3
2025-02-04 21:00:00,23.2,54,8.1
2025-02-04 22:00:00,22.7,54,7.9
2025-02-04 23:00:00,22.0,57,6.3
2025-02-05 00:00:00,21.5,59,6.7
2025-02-05 01:00:00,21.9,59,7.8
2025-02-05 02:00:00,22.3,55,6.2
2025-02-05 03:00:00,24.6,47,4.4
2025-02-05 04:00:00,27.9,38,4.8
2025-02-05 05:00:00,30.2,30,7.6
2025-02-05 06:00:00,31.5,25,7.3
2025-02-05 07:00:00,32.3,23,6.1
2025-02-05 08:00:00,32.9,22,6.2
2025-02-05 09:00:00,33.1,21,7.0
2025-02-05 10:00:00,33.0,22,7.8
2025-02-05 11:00:00,32.5,23,8.7
2025-02-05 12:00:00,31.4,25,11.3
2025-02-05 13:00:00,29.6,30,13.6
2025-02-05 14:00:00,28.1,34,11.2
2025-02-05 15:00:00,27.5,33,10.7
2025-02-05 16:00:00,26.9,34,9.6
2025-02-05 17:00:00,25.8,37,8.5
2025-02-05 18:00:00,25.0,40,8.1
2025-02-05 19:00:00,24.1,42,9.0
2025-02-05 20:00:00,23.4,45,5.2
2025-02-05 21:00:00,22.7,49,3.3
2025-02-05 22:00:00,22.2,51,4.3
2025-02-05 23:00:00,21.7,54,4.4
2025-02-06 00:00:00,21.1,57,3.9
2025-02-06 01:00:00,21.0,64,3.9
2025-02-06 02:00:00,20.8,66,5.6
2025-02-06 03:00:00,23.8,53,3.8
2025-02-06 04:00:00,27.1,39,3.8
2025-02-06 05:00:00,29.5,32,8.1
2025-02-06 06:00:00,30.9,27,8.0
2025-02-06 07:00:00,31.7,26,8.5
2025-02-06 08:00:00,32.2,25,9.8
2025-02-06 09:00:00,32.3,24,11.6
2025-02-06 10:00:00,31.9,25,12.7
2025-02-06 11:00:00,31.2,27,13.4
2025-02-06 12:00:00,30.0,31,11.9
2025-02-06 13:00:00,28.4,38,10.1
2025-02-06 14:00:00,27.5,42,9.7
2025-02-06 15:00:00,26.9,44,10.3
2025-02-06 16:00:00,26.1,48,10.1
2025-02-06 17:00:00,25.2,50,8.1
2025-02-06 18:00:00,24.4,53,6.0
2025-02-06 19:00:00,23.8,55,4.6
2025-02-06 20:00:00,23.0,58,4.3
2025-02-06 21:00:00,22.3,61,9.1
2025-02-06 22:00:00,22.0,61,7.4
2025-02-06 23:00:00,21.9,61,5.9
2025-02-07 00:00:00,21.8,62,5.0
2025-02-07 01:00:00,21.8,67,5.1
2025-02-07 02:00:00,21.7,68,3.3
2025-02-07 03:00:00,23.8,59,2.7
2025-02-07 04:00:00,26.5,48,3.4
2025-02-07 05:00:00,28.4,41,4.9
2025-02-07 06:00:00,29.8,37,6.3
2025-02-07 07:00:00,30.7,34,7.1
2025-02-07 08:00:00,31.4,31,7.2
2025-02-07 09:00:00,31.8,30,7.6
2025-02-07 10:00:00,31.8,29,7.8
2025-02-07 11:00:00,31.2,31,9.2
2025-02-07 12:00:00,30.2,34,11.8
2025-02-07 13:00:00,29.0,39,11.5
2025-02-07 14:00:00,27.9,44,10.9
2025-02-07 15:00:00,27.0,48,10.2
2025-02-07 16:00:00,26.4,49,8.3
2025-02-07 17:00:00,25.6,52,8.3
2025-02-07 18:00:00,25.0,54,7.6
2025-02-07 19:00:00,24.3,56,4.5
2025-02-07 20:00:00,23.4,60,4.6
2025-02-07 21:00:00,22.9,61,6.4
2025-02-07 22:00:00,22.4,60,5.8
2025-02-07 23:00:00,21.8,63,5.2
2025-02-08 00:00:00,21.5,65,3.2
2025-02-08 01:00:00,21.9,66,3.9
2025-02-08 02:00:00,21.9,66,0.9
2025-02-08 03:00:00,24.3,57,1.8
2025-02-08 04:00:00,27.1,44,2.9
2025-02-08 05:00:00,29.0,37,7.2
2025-02-08 06:00:00,30.2,34,7.3
2025-02-08 07:00:00,31.2,30,7.2
2025-02-08 08:00:00,31.8,28,8.1
2025-02-08 09:00:00,32.1,28,9.2
2025-02-08 10:00:00,32.0,28,9.7
2025-02-08 11:00:00,31.6,29,11.4
2025-02-08 12:00:00,30.8,30,12.6
2025-02-08 13:00:00,29.0,37,12.1
2025-02-08 14:00:00,28.0,39,9.6
2025-02-08 15:00:00,27.1,42,7.2
2025-02-08 16:00:00,25.9,46,6.6
2025-02-08 17:00:00,25.3,48,5.4
2025-02-08 18:00:00,24.9,51,8.1
2025-02-08 19:00:00,24.8,51,11.0
2025-02-08 20:00:00,24.8,47,10.2
2025-02-08 21:00:00,24.4,46,8.6
2025-02-08 22:00:00,23.8,46,9.3
2025-02-08 23:00:00,22.5,52,5.4
2025-02-09 00:00:00,22.0,55,4.0
2025-02-09 01:00:00,22.1,60,5.8
2025-02-09 02:00:00,22.1,60,5.1
2025-02-09 03:00:00,23.8,56,3.4
2025-02-09 04:00:00,26.4,47,5.1
2025-02-09 05:00:00,28.6,37,8.5
2025-02-09 06:00:00,30.0,32,9.9
2025-02-09 07:00:00,30.9,29,10.3
2025-02-09 08:00:00,31.4,28,10.5
2025-02-09 09:00:00,31.6,28,10.3
2025-02-09 10:00:00,31.4,29,10.6
2025-02-09 11:00:00,30.9,31,10.8
2025-02-09 12:00:00,29.9,34,11.0
2025-02-09 13:00:00,28.7,37,9.9
2025-02-09 14:00:00,27.7,42,9.9
2025-02-09 15:00:00,26.7,46,9.2
2025-02-09 16:00:00,25.8,49,7.8
2025-02-09 17:00:00,25.3,51,7.5
2025-02-09 18:00:00,25.1,51,7.7
2025-02-09 19:00:00,24.4,54,7.8
2025-02-09 20:00:00,23.6,57,5.8
2025-02-09 21:00:00,22.4,61,10.3
2025-02-09 22:00:00,21.9,66,9.2
2025-02-09 23:00:00,21.4,71,9.3
2025-02-10 00:00:00,20.9,76,8.8
2025-02-10 01:00:00,21.1,80,8.0
2025-02-10 02:00:00,21.2,80,6.0
2025-02-10 03:00:00,23.3,71,4.2
2025-02-10 04:00:00,26.2,58,6.0
2025-02-10 05:00:00,28.3,44,6.4
