Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,12.1,81,1.1
2025-01-30 01:00:00,12.3,80,0.9
2025-01-30 02:00:00,12.3,79,1.1
2025-01-30 03:00:00,13.9,71,3.2
2025-01-30 04:00:00,17.4,56,2.3
2025-01-30 05:00:00,20.0,48,4.2
2025-01-30 06:00:00,22.1,43,4.4
2025-01-30 07:00:00,24.0,34,5.1
2025-01-30 08:00:00,25.4,29,6.5
2025-01-30 09:00:00,26.1,24,7.4
2025-01-30 10:00:00,26.4,20,8.1
2025-01-30 11:00:00,25.9,19,8.6
2025-01-30 12:00:00,24.6,21,4.0
2025-01-30 13:00:00,21.4,37,3.4
2025-01-30 14:00:00,20.1,40,1.5
2025-01-30 15:00:00,18.6,40,3.8
2025-01-30 16:00:00,17.7,54,1.0
2025-01-30 17:00:00,16.8,49,3.2
2025-01-30 18:00:00,16.3,43,7.3
2025-01-30 19:00:00,15.5,38,6.6
2025-01-30 20:00:00,15.3,37,6.8
2025-01-30 21:00:00,14.5,43,5.5
2025-01-30 22:00:00,14.2,44,5.6
2025-01-30 23:00:00,13.7,50,4.5
2025-01-31 00:00:00,13.5,50,5.8
2025-01-31 01:00:00,13.5,60,6.5
2025-01-31 02:00:00,12.9,64,5.6
2025-01-31 03:00:00,14.9,59,7.0
2025-01-31 04:00:00,19.0,47,4.2
2025-01-31 05:00:00,22.3,34,4.5
2025-01-31 06:00:00,23.9,25,6.6
2025-01-31 07:00:00,24.8,23,7.6
2025-01-31 08:00:00,25.1,23,8.3
2025-01-31 09:00:00,25.2,23,9.2
2025-01-31 10:00:00,25.0,24,9.1
2025-01-31 11:00:00,24.5,24,9.2
2025-01-31 12:00:00,23.2,29,7.1
2025-01-31 13:00:00,20.1,45,4.4
2025-01-31 14:00:00,18.5,57,3.3
2025-01-31 15:00:00,17.6,61,3.5
2025-01-31 16:00:00,17.6,59,1.3
2025-01-31 17:00:00,17.6,56,2.0
2025-01-31 18:00:00,16.5,58,3.4
2025-01-31 19:00:00,15.3,61,9.8
2025-01-31 20:00:00,14.6,73,5.8
2025-01-31 21:00:00,13.8,82,2.5
2025-01-31 22:00:00,13.4,86,2.5
2025-01-31 23:00:00,13.0,88,2.0
2025-02-01 00:00:00,12.5,90,2.0
2025-02-01 01:00:00,13.0,89,7.3
2025-02-01 02:00:00,12.7,88,8.5
2025-02-01 03:00:00,14.2,81,9.3
2025-02-01 04:00:00,16.8,70,7.6
2025-02-01 05:00:00,19.1,62,7.4
2025-02-01 06:00:00,20.9,55,6.7
2025-02-01 07:00:00,22.3,49,5.6
2025-02-01 08:00:00,23.3,42,4.5
2025-02-01 09:00:00,23.9,38,4.6
2025-02-01 10:00:00,23.9,37,5.1
2025-02-01 11:00:00,23.4,37,5.5
2025-02-01 12:00:00,22.1,43,7.3
2025-02-01 13:00:00,20.4,56,6.7
2025-02-01 14:00:00,19.1,65,4.9
2025-02-01 15:00:00,18.0,72,3.5
2025-02-01 16:00:00,16.8,77,3.1
2025-02-01 17:00:00,16.2,77,8.1
2025-02-01 18:00:00,15.5,83,4.1
2025-02-01 19:00:00,15.1,85,4.1
2025-02-01 20:00:00,14.5,90,10.8
2025-02-01 21:00:00,13.9,92,10.4
2025-02-01 22:00:00,13.6,91,10.7
2025-02-01 23:00:00,13.4,90,11.1
2025-02-02 00:00:00,13.3,89,11.5
2025-02-02 01:00:00,13.6,89,10.6
2025-02-02 02:00:00,13.5,89,11.0
2025-02-02 03:00:00,14.7,83,11.2
2025-02-02 04:00:00,17.3,72,8.3
2025-02-02 05:00:00,20.1,61,9.0
2025-02-02 06:00:00,21.9,53,7.7
2025-02-02 07:00:00,23.3,43,5.2
2025-02-02 08:00:00,24.1,38,2.7
