Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,10.7,94,4.4
2025-01-30 01:00:00,10.2,96,2.3
2025-01-30 02:00:00,10.5,96,2.7
2025-01-30 03:00:00,12.9,89,2.7
2025-01-30 04:00:00,16.5,79,1.4
2025-01-30 05:00:00,19.5,66,2.0
2025-01-30 06:00:00,21.6,55,1.6
2025-01-30 07:00:00,23.1,48,1.7
2025-01-30 08:00:00,24.1,44,1.5
2025-01-30 09:00:00,24.6,42,1.8
2025-01-30 10:00:00,24.7,41,2.4
2025-01-30 11:00:00,24.0,46,2.7
2025-01-30 12:00:00,21.5,65,4.0
2025-01-30 13:00:00,19.8,73,5.8
2025-01-30 14:00:00,18.2,79,5.4
2025-01-30 15:00:00,17.5,76,6.1
2025-01-30 16:00:00,16.7,76,5.4
2025-01-30 17:00:00,15.9,77,5.1
2025-01-30 18:00:00,15.2,80,4.8
2025-01-30 19:00:00,14.6,82,4.5
2025-01-30 20:00:00,14.0,85,2.5
2025-01-30 21:00:00,13.3,89,2.7
2025-01-30 22:00:00,12.9,89,1.5
2025-01-30 23:00:00,12.6,90,0.6
2025-01-31 00:00:00,12.0,93,2.1
2025-01-31 01:00:00,11.4,95,2.7
2025-01-31 02:00:00,11.7,95,2.3
2025-01-31 03:00:00,14.4,87,1.9
2025-01-31 04:00:00,18.2,74,1.9
2025-01-31 05:00:00,21.1,61,2.9
2025-01-31 06:00:00,23.3,50,2.9
2025-01-31 07:00:00,24.8,44,2.1
2025-01-31 08:00:00,25.7,41,1.0
2025-01-31 09:00:00,26.1,39,0.6
2025-01-31 10:00:00,26.1,38,1.5
2025-01-31 11:00:00,25.4,42,2.3
2025-01-31 12:00:00,22.7,62,3.9
2025-01-31 13:00:00,21.5,64,6.9
2025-01-31 14:00:00,20.3,69,8.5
2025-01-31 15:00:00,19.1,73,5.7
2025-01-31 16:00:00,18.8,71,7.1
2025-01-31 17:00:00,18.3,71,8.0
2025-01-31 18:00:00,17.5,74,8.8
2025-01-31 19:00:00,17.1,76,9.5
2025-01-31 20:00:00,16.3,81,7.6
2025-01-31 21:00:00,15.6,83,7.4
2025-01-31 22:00:00,15.3,85,7.9
2025-01-31 23:00:00,14.9,86,7.6
2025-02-01 00:00:00,14.4,88,7.9
2025-02-01 01:00:00,14.1,89,7.8
2025-02-01 02:00:00,14.1,89,8.0
2025-02-01 03:00:00,15.8,84,7.2
2025-02-01 04:00:00,18.5,72,5.7
2025-02-01 05:00:00,21.4,62,5.8
2025-02-01 06:00:00,23.6,53,6.6
2025-02-01 07:00:00,25.2,46,6.0
2025-02-01 08:00:00,26.1,43,5.1
2025-02-01 09:00:00,26.6,41,4.4
2025-02-01 10:00:00,26.6,41,4.2
2025-02-01 11:00:00,26.0,43,5.4
2025-02-01 12:00:00,23.9,56,7.3
2025-02-01 13:00:00,22.1,64,8.8
2025-02-01 14:00:00,21.1,66,8.3
2025-02-01 15:00:00,20.0,69,5.4
2025-02-01 16:00:00,19.0,73,4.6
2025-02-01 17:00:00,17.8,80,4.0
2025-02-01 18:00:00,17.3,80,4.0
2025-02-01 19:00:00,16.6,83,4.4
2025-02-01 20:00:00,16.0,83,4.6
2025-02-01 21:00:00,15.7,82,5.8
2025-02-01 22:00:00,15.1,82,7.0
2025-02-01 23:00:00,14.4,83,5.3
2025-02-02 00:00:00,13.9,84,6.3
2025-02-02 01:00:00,13.9,86,4.4
2025-02-02 02:00:00,13.9,87,3.1
2025-02-02 03:00:00,15.9,79,1.8
2025-02-02 04:00:00,19.2,68,1.4
2025-02-02 05:00:00,22.3,57,2.3
2025-02-02 06:00:00,24.5,45,3.3
2025-02-02 07:00:00,25.6,39,4.9
2025-02-02 08:00:00,26.1,38,6.8
2025-02-02 09:00:00,26.2,38,8.0
2025-02-02 10:00:00,26.0,38,8.6
2025-02-02 11:00:00,25.3,39,8.8
2025-02-02 12:00:00,23.6,48,6.8
2025-02-02 13:00:00,22.5,57,6.6
2025-02-02 14:00:00,21.1,63,8.4
2025-02-02 15:00:00,19.9,66,8.5
2025-02-02 16:00:00,19.1,66,8.4
2025-02-02 17:00:00,18.8,64,9.2
2025-02-02 18:00:00,18.6,64,12.6
2025-02-02 19:00:00,17.5,70,12.0
2025-02-02 20:00:00,16.4,77,10.4
2025-02-02 21:00:00,15.9,80,10.7
2025-02-02 22:00:00,15.4,83,10.1
2025-02-02 23:00:00,14.7,86,9.0
2025-02-03 00:00:00,14.0,87,7.9
2025-02-03 01:00:00,13.8,90,7.1
2025-02-03 02:00:00,13.7,90,7.6
2025-02-03 03:00:00,15.5,81,6.3
2025-02-03 04:00:00,18.2,67,5.0
2025-02-03 05:00:00,21.0,55,4.5
2025-02-03 06:00:00,23.3,41,6.4
2025-02-03 07:00:00,24.5,35,8.4
2025-02-03 08:00:00,25.1,34,8.8
2025-02-03 09:00:00,25.4,34,9.3
2025-02-03 10:00:00,25.2,35,8.6
2025-02-03 11:00:00,24.6,37,6.7
2025-02-03 12:00:00,22.9,51,3.6
2025-02-03 13:00:00,22.0,50,6.0
2025-02-03 14:00:00,20.9,53,8.0
2025-02-03 15:00:00,19.6,58,5.2
2025-02-03 16:00:00,18.4,66,4.2
2025-02-03 17:00:00,17.8,66,4.4
2025-02-03 18:00:00,17.1,69,4.5
2025-02-03 19:00:00,16.5,71,6.0
2025-02-03 20:00:00,15.9,75,5.5
2025-02-03 21:00:00,15.5,77,5.4
2025-02-03 22:00:00,14.8,83,3.7
2025-02-03 23:00:00,14.5,82,3.5
2025-02-04 00:00:00,14.4,81,5.9
2025-02-04 01:00:00,15.0,80,8.2
2025-02-04 02:00:00,15.2,74,8.6
2025-02-04 03:00:00,17.2,65,6.0
2025-02-04 04:00:00,19.5,56,4.8
2025-02-04 05:00:00,21.9,53,2.4
2025-02-04 06:00:00,24.0,49,2.0
2025-02-04 07:00:00,25.4,47,4.8
2025-02-04 08:00:00,26.0,47,6.7
2025-02-04 09:00:00,26.3,46,8.5
2025-02-04 10:00:00,26.1,47,8.1
2025-02-04 11:00:00,25.2,47,8.7
2025-02-04 12:00:00,24.1,49,8.3
2025-02-04 13:00:00,23.1,58,9.4
2025-02-04 14:00:00,22.2,58,6.5
2025-02-04 15:00:00,21.5,60,7.0
2025-02-04 16:00:00,20.8,62,7.8
2025-02-04 17:00:00,20.0,66,6.8
2025-02-04 18:00:00,19.2,70,5.5
2025-02-04 19:00:00,18.6,72,7.2
2025-02-04 20:00:00,17.9,74,7.9
2025-02-04 21:00:00,17.3,76,7.3
2025-02-04 22:00:00,16.8,77,7.3
2025-02-04 23:00:00,16.4,79,6.5
2025-02-05 00:00:00,15.8,82,4.1
2025-02-05 01:00:00,15.5,86,6.1
2025-02-05 02:00:00,15.6,86,8.2
2025-02-05 03:00:00,17.5,77,6.7
2025-02-05 04:00:00,20.2,66,7.3
2025-02-05 05:00:00,22.4,62,10.5
2025-02-05 06:00:00,24.2,56,12.5
2025-02-05 07:00:00,25.4,51,11.8
2025-02-05 08:00:00,26.1,49,13.0
2025-02-05 09:00:00,26.3,48,15.0
2025-02-05 10:00:00,25.8,46,14.8
2025-02-05 11:00:00,25.1,42,14.3
2025-02-05 12:00:00,23.7,45,13.0
2025-02-05 13:00:00,21.9,45,12.5
2025-02-05 14:00:00,20.6,44,12.9
2025-02-05 15:00:00,19.6,41,13.9
2025-02-05 16:00:00,18.4,41,14.4
2025-02-05 17:00:00,17.3,45,13.2
2025-02-05 18:00:00,16.3,49,12.2
2025-02-05 19:00:00,15.5,52,12.4
2025-02-05 20:00:00,14.8,57,13.1
2025-02-05 21:00:00,14.2,58,13.6
2025-02-05 22:00:00,13.6,60,13.2
2025-02-05 23:00:00,13.1,62,13.1
2025-02-06 00:00:00,12.7,63,12.9
2025-02-06 01:00:00,12.2,70,12.4
2025-02-06 02:00:00,12.5,68,12.3
2025-02-06 03:00:00,14.4,62,11.2
2025-02-06 04:00:00,16.9,51,11.4
2025-02-06 05:00:00,19.3,41,13.4
2025-02-06 06:00:00,21.2,34,14.9
2025-02-06 07:00:00,22.6,28,15.6
2025-02-06 08:00:00,23.6,24,15.0
2025-02-06 09:00:00,24.0,23,14.4
2025-02-06 10:00:00,23.7,24,13.5
2025-02-06 11:00:00,22.9,27,13.1
2025-02-06 12:00:00,21.2,32,11.8
2025-02-06 13:00:00,19.6,36,12.1
2025-02-06 14:00:00,18.3,38,12.2
2025-02-06 15:00:00,17.7,41,13.2
2025-02-06 16:00:00,17.0,46,13.0
2025-02-06 17:00:00,16.0,50,12.0
2025-02-06 18:00:00,15.1,54,12.2
2025-02-06 19:00:00,14.3,56,12.5
2025-02-06 20:00:00,13.6,58,13.0
2025-02-06 21:00:00,12.9,60,12.8
2025-02-06 22:00:00,12.4,63,12.1
2025-02-06 23:00:00,11.8,65,11.5
2025-02-07 00:00:00,11.3,67,11.7
2025-02-07 01:00:00,11.0,76,11.5
2025-02-07 02:00:00,11.2,75,12.3
2025-02-07 03:00:00,13.1,67,10.2
2025-02-07 04:00:00,15.5,57,11.5
2025-02-07 05:00:00,17.7,48,12.5
