Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,19.8,94,7.7
2025-01-30 01:00:00,20.2,94,8.1
2025-01-30 02:00:00,21.8,89,11.4
2025-01-30 03:00:00,23.5,83,15.8
2025-01-30 04:00:00,25.5,71,15.7
2025-01-30 05:00:00,27.1,62,14.9
2025-01-30 06:00:00,28.5,55,13.7
2025-01-30 07:00:00,29.4,50,12.9
2025-01-30 08:00:00,29.9,47,13.2
2025-01-30 09:00:00,30.0,45,14.1
2025-01-30 10:00:00,28.7,52,15.5
2025-01-30 11:00:00,26.3,65,16.0
2025-01-30 12:00:00,24.9,72,13.8
2025-01-30 13:00:00,24.4,77,13.7
2025-01-30 14:00:00,23.8,80,13.1
2025-01-30 15:00:00,23.3,81,13.4
2025-01-30 16:00:00,22.9,82,13.2
2025-01-30 17:00:00,22.7,83,12.6
2025-01-30 18:00:00,22.4,84,11.7
2025-01-30 19:00:00,22.2,87,10.8
2025-01-30 20:00:00,21.8,90,10.5
2025-01-30 21:00:00,21.6,91,10.6
2025-01-30 22:00:00,21.2,94,7.9
2025-01-30 23:00:00,20.8,95,7.3
2025-01-31 00:00:00,20.4,96,6.3
2025-01-31 01:00:00,20.7,97,4.2
2025-01-31 02:00:00,21.7,92,5.7
2025-01-31 03:00:00,23.1,85,7.0
2025-01-31 04:00:00,24.6,77,6.1
2025-01-31 05:00:00,26.6,67,6.8
2025-01-31 06:00:00,28.6,57,7.5
2025-01-31 07:00:00,29.6,52,9.1
2025-01-31 08:00:00,30.3,49,10.2
2025-01-31 09:00:00,30.1,50,10.5
2025-01-31 10:00:00,29.8,52,9.6
2025-01-31 11:00:00,28.9,57,7.7
2025-01-31 12:00:00,27.1,69,10.0
2025-01-31 13:00:00,25.4,80,9.2
2025-01-31 14:00:00,24.6,83,9.3
2025-01-31 15:00:00,24.1,86,7.0
2025-01-31 16:00:00,23.6,89,6.3
2025-01-31 17:00:00,23.1,92,5.8
2025-01-31 18:00:00,22.8,93,5.6
2025-01-31 19:00:00,22.5,95,5.8
2025-01-31 20:00:00,22.2,96,5.8
2025-01-31 21:00:00,21.7,98,3.4
2025-01-31 22:00:00,21.5,99,3.9
2025-01-31 23:00:00,21.4,100,2.3
2025-02-01 00:00:00,21.5,99,2.8
2025-02-01 01:00:00,22.0,99,4.7
2025-02-01 02:00:00,22.2,98,4.9
2025-02-01 03:00:00,23.0,93,4.8
2025-02-01 04:00:00,24.0,87,5.0
2025-02-01 05:00:00,25.4,80,1.9
2025-02-01 06:00:00,28.0,67,1.7
2025-02-01 07:00:00,29.1,60,3.9
2025-02-01 08:00:00,29.7,56,5.3
2025-02-01 09:00:00,29.7,56,7.7
2025-02-01 10:00:00,29.2,59,7.6
2025-02-01 11:00:00,28.6,61,7.1
2025-02-01 12:00:00,27.3,67,4.5
2025-02-01 13:00:00,26.4,76,4.4
2025-02-01 14:00:00,25.7,81,2.7
2025-02-01 15:00:00,25.2,84,0.6
2025-02-01 16:00:00,24.7,85,4.6
2025-02-01 17:00:00,23.5,91,5.7
2025-02-01 18:00:00,22.6,95,6.2
2025-02-01 19:00:00,22.0,97,5.6
2025-02-01 20:00:00,21.7,97,4.8
2025-02-01 21:00:00,21.4,98,3.9
2025-02-01 22:00:00,21.0,99,3.0
2025-02-01 23:00:00,21.2,100,1.8
2025-02-02 00:00:00,21.2,100,3.1
2025-02-02 01:00:00,21.6,99,2.3
2025-02-02 02:00:00,21.8,98,2.3
2025-02-02 03:00:00,22.4,96,2.3
2025-02-02 04:00:00,24.0,85,1.7
2025-02-02 05:00:00,26.0,74,1.7
2025-02-02 06:00:00,28.0,65,3.5
2025-02-02 07:00:00,29.1,59,5.8
2025-02-02 08:00:00,30.0,56,7.0
2025-02-02 09:00:00,29.9,57,7.9
2025-02-02 10:00:00,29.5,59,7.3
2025-02-02 11:00:00,28.8,61,6.4
2025-02-02 12:00:00,27.8,66,6.5
2025-02-02 13:00:00,26.2,73,2.3
2025-02-02 14:00:00,25.6,78,1.3
2025-02-02 15:00:00,25.5,76,3.6
2025-02-02 16:00:00,24.9,79,3.3
2025-02-02 17:00:00,24.3,82,4.4
2025-02-02 18:00:00,23.3,87,4.0
2025-02-02 19:00:00,22.5,92,3.6
2025-02-02 20:00:00,21.8,95,1.6
2025-02-02 21:00:00,21.5,96,2.3
2025-02-02 22:00:00,21.0,98,4.6
2025-02-02 23:00:00,20.5,99,4.2
2025-02-03 00:00:00,20.4,100,4.5
2025-02-03 01:00:00,21.0,99,3.9
2025-02-03 02:00:00,21.1,98,4.3
2025-02-03 03:00:00,21.8,96,5.1
2025-02-03 04:00:00,24.2,81,5.6
2025-02-03 05:00:00,26.6,65,4.5
2025-02-03 06:00:00,28.7,47,4.6
2025-02-03 07:00:00,29.9,39,4.9
2025-02-03 08:00:00,30.6,35,5.6
