Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,10.5,96,1.9
2025-01-30 01:00:00,10.6,92,1.2
2025-01-30 02:00:00,10.9,92,0.3
2025-01-30 03:00:00,13.2,89,1.8
2025-01-30 04:00:00,16.8,79,1.4
2025-01-30 05:00:00,19.5,68,2.0
2025-01-30 06:00:00,21.3,61,3.0
2025-01-30 07:00:00,22.5,53,3.2
2025-01-30 08:00:00,23.4,49,3.7
2025-01-30 09:00:00,23.8,47,4.2
2025-01-30 10:00:00,23.7,47,4.5
2025-01-30 11:00:00,23.0,54,3.6
2025-01-30 12:00:00,20.7,69,3.4
2025-01-30 13:00:00,19.0,74,3.1
2025-01-30 14:00:00,17.8,78,3.2
2025-01-30 15:00:00,16.9,79,2.8
2025-01-30 16:00:00,16.1,80,2.8
2025-01-30 17:00:00,15.0,82,4.4
2025-01-30 18:00:00,14.6,83,5.8
2025-01-30 19:00:00,14.1,84,5.8
2025-01-30 20:00:00,14.4,84,8.5
2025-01-30 21:00:00,14.0,85,9.0
2025-01-30 22:00:00,13.9,84,8.5
2025-01-30 23:00:00,13.1,86,1.8
2025-01-31 00:00:00,12.3,88,1.0
2025-01-31 01:00:00,11.0,94,2.0
2025-01-31 02:00:00,11.4,94,3.2
2025-01-31 03:00:00,13.6,89,4.2
2025-01-31 04:00:00,17.3,80,2.4
2025-01-31 05:00:00,20.3,68,3.1
2025-01-31 06:00:00,22.4,59,3.7
2025-01-31 07:00:00,23.8,52,3.8
2025-01-31 08:00:00,24.7,48,4.0
2025-01-31 09:00:00,25.1,46,4.8
2025-01-31 10:00:00,24.9,47,5.2
2025-01-31 11:00:00,24.2,53,4.4
2025-01-31 12:00:00,21.7,69,4.1
2025-01-31 13:00:00,20.7,68,2.2
2025-01-31 14:00:00,20.0,68,0.6
2025-01-31 15:00:00,18.3,77,3.1
2025-01-31 16:00:00,17.3,82,5.0
2025-01-31 17:00:00,17.1,82,6.1
2025-01-31 18:00:00,15.9,86,5.2
2025-01-31 19:00:00,15.7,86,5.5
2025-01-31 20:00:00,15.9,83,8.8
2025-01-31 21:00:00,15.6,84,8.7
2025-01-31 22:00:00,14.7,87,7.3
2025-01-31 23:00:00,14.2,89,6.6
2025-02-01 00:00:00,13.7,90,6.3
2025-02-01 01:00:00,13.4,92,6.3
2025-02-01 02:00:00,13.5,93,5.5
2025-02-01 03:00:00,15.2,89,5.0
