Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,21.1,65,6.5
2025-01-30 01:00:00,20.4,72,6.5
2025-01-30 02:00:00,20.3,71,6.7
2025-01-30 03:00:00,21.9,64,6.6
2025-01-30 04:00:00,24.8,53,4.0
2025-01-30 05:00:00,27.9,44,2.7
2025-01-30 06:00:00,30.3,37,1.6
2025-01-30 07:00:00,31.5,36,5.4
2025-01-30 08:00:00,31.3,40,9.6
2025-01-30 09:00:00,31.1,40,10.6
2025-01-30 10:00:00,30.9,39,11.1
2025-01-30 11:00:00,30.3,37,11.5
2025-01-30 12:00:00,28.8,41,11.7
2025-01-30 13:00:00,27.0,48,10.7
2025-01-30 14:00:00,25.9,56,10.1
2025-01-30 15:00:00,25.4,51,10.9
2025-01-30 16:00:00,24.9,50,9.7
2025-01-30 17:00:00,24.4,48,9.3
2025-01-30 18:00:00,24.0,46,9.2
2025-01-30 19:00:00,23.6,44,7.7
2025-01-30 20:00:00,23.0,46,7.7
2025-01-30 21:00:00,22.3,54,8.9
2025-01-30 22:00:00,21.7,65,8.3
2025-01-30 23:00:00,21.3,68,6.9
2025-01-31 00:00:00,21.1,64,7.0
2025-01-31 01:00:00,20.7,69,5.2
2025-01-31 02:00:00,20.6,67,4.7
2025-01-31 03:00:00,22.5,59,5.9
2025-01-31 04:00:00,25.1,50,4.1
2025-01-31 05:00:00,27.6,41,3.3
2025-01-31 06:00:00,29.3,38,5.2
2025-01-31 07:00:00,29.7,43,8.8
2025-01-31 08:00:00,29.5,48,11.3
2025-01-31 09:00:00,29.4,48,12.1
2025-01-31 10:00:00,28.8,49,12.6
2025-01-31 11:00:00,27.8,56,12.1
2025-01-31 12:00:00,26.6,61,11.5
2025-01-31 13:00:00,24.8,72,12.1
2025-01-31 14:00:00,24.0,79,12.5
2025-01-31 15:00:00,23.7,77,13.6
2025-01-31 16:00:00,23.5,73,11.9
2025-01-31 17:00:00,23.0,73,8.1
2025-01-31 18:00:00,22.4,71,6.0
2025-01-31 19:00:00,21.8,67,4.8
2025-01-31 20:00:00,21.3,64,4.6
2025-01-31 21:00:00,20.5,64,3.8
2025-01-31 22:00:00,20.1,63,4.0
2025-01-31 23:00:00,20.2,60,4.8
2025-02-01 00:00:00,20.0,62,4.7
2025-02-01 01:00:00,20.0,72,4.9
2025-02-01 02:00:00,20.1,77,5.8
2025-02-01 03:00:00,21.6,75,6.2
2025-02-01 04:00:00,23.8,71,5.6
2025-02-01 05:00:00,25.9,59,4.3
2025-02-01 06:00:00,28.2,43,2.7
2025-02-01 07:00:00,29.2,40,6.9
2025-02-01 08:00:00,28.7,51,13.1
2025-02-01 09:00:00,28.0,52,15.7
2025-02-01 10:00:00,27.8,48,15.6
2025-02-01 11:00:00,27.3,47,14.9
2025-02-01 12:00:00,26.3,51,14.6
2025-02-01 13:00:00,24.9,59,12.6
2025-02-01 14:00:00,24.2,63,12.5
2025-02-01 15:00:00,24.0,56,13.0
2025-02-01 16:00:00,23.6,52,12.3
2025-02-01 17:00:00,23.4,47,11.5
2025-02-01 18:00:00,23.1,44,10.5
2025-02-01 19:00:00,22.8,42,7.5
2025-02-01 20:00:00,22.2,43,5.9
2025-02-01 21:00:00,21.8,44,7.5
2025-02-01 22:00:00,21.7,47,9.9
2025-02-01 23:00:00,21.4,50,10.4
2025-02-02 00:00:00,21.2,50,9.5
2025-02-02 01:00:00,20.8,54,7.9
2025-02-02 02:00:00,20.6,53,6.9
2025-02-02 03:00:00,21.6,49,6.4
2025-02-02 04:00:00,24.2,41,4.6
2025-02-02 05:00:00,27.1,34,3.8
2025-02-02 06:00:00,29.3,30,5.6
2025-02-02 07:00:00,30.4,31,9.3
2025-02-02 08:00:00,31.0,32,11.8
2025-02-02 09:00:00,30.9,33,13.6
2025-02-02 10:00:00,30.3,34,14.3
2025-02-02 11:00:00,29.2,38,13.8
2025-02-02 12:00:00,27.7,46,13.1
2025-02-02 13:00:00,26.0,58,12.6
2025-02-02 14:00:00,25.2,63,12.5
2025-02-02 15:00:00,25.1,55,13.5
2025-02-02 16:00:00,24.8,51,12.0
2025-02-02 17:00:00,24.4,47,9.7
2025-02-02 18:00:00,24.2,44,9.3
2025-02-02 19:00:00,23.9,44,8.3
2025-02-02 20:00:00,23.3,46,5.8
2025-02-02 21:00:00,22.7,48,4.5
2025-02-02 22:00:00,22.2,50,4.2
2025-02-02 23:00:00,22.0,52,5.2
2025-02-03 00:00:00,21.7,55,6.0
2025-02-03 01:00:00,21.3,63,4.9
2025-02-03 02:00:00,20.8,63,4.2
2025-02-03 03:00:00,22.4,54,5.0
2025-02-03 04:00:00,25.4,40,6.9
2025-02-03 05:00:00,27.5,40,10.4
2025-02-03 06:00:00,28.6,47,12.4
2025-02-03 07:00:00,29.0,50,14.0
2025-02-03 08:00:00,29.0,44,16.1
2025-02-03 09:00:00,28.8,41,17.1
2025-02-03 10:00:00,28.2,42,16.9
2025-02-03 11:00:00,27.5,45,16.2
2025-02-03 12:00:00,26.3,54,14.1
2025-02-03 13:00:00,25.2,60,12.0
2025-02-03 14:00:00,24.5,65,11.1
2025-02-03 15:00:00,24.3,63,9.8
2025-02-03 16:00:00,23.9,64,7.5
2025-02-03 17:00:00,23.5,61,6.5
2025-02-03 18:00:00,23.1,60,6.9
2025-02-03 19:00:00,22.7,59,6.5
2025-02-03 20:00:00,22.3,57,5.8
2025-02-03 21:00:00,21.9,57,5.2
2025-02-03 22:00:00,21.6,57,5.0
2025-02-03 23:00:00,20.6,61,3.7
2025-02-04 00:00:00,20.2,63,3.3
2025-02-04 01:00:00,20.6,60,5.4
2025-02-04 02:00:00,20.9,61,6.7
2025-02-04 03:00:00,22.7,60,7.2
2025-02-04 04:00:00,25.1,63,8.1
2025-02-04 05:00:00,27.3,51,7.3
2025-02-04 06:00:00,28.6,45,10.4
2025-02-04 07:00:00,29.2,47,11.5
2025-02-04 08:00:00,29.7,44,11.8
2025-02-04 09:00:00,29.8,39,12.7
2025-02-04 10:00:00,29.2,37,13.8
2025-02-04 11:00:00,28.0,43,13.6
2025-02-04 12:00:00,26.7,52,14.2
2025-02-04 13:00:00,25.2,62,15.0
2025-02-04 14:00:00,24.5,67,12.9
2025-02-04 15:00:00,24.5,55,13.9
2025-02-04 16:00:00,24.5,46,12.7
2025-02-04 17:00:00,24.2,40,11.2
2025-02-04 18:00:00,23.8,39,10.1
2025-02-04 19:00:00,23.3,39,9.7
2025-02-04 20:00:00,22.8,39,11.0
2025-02-04 21:00:00,22.5,38,11.9
2025-02-04 22:00:00,22.3,37,12.6
2025-02-04 23:00:00,22.0,37,12.6
2025-02-05 00:00:00,21.8,37,13.3
2025-02-05 01:00:00,21.3,41,12.4
2025-02-05 02:00:00,21.0,40,10.6
2025-02-05 03:00:00,22.2,36,9.7
2025-02-05 04:00:00,24.7,30,10.8
2025-02-05 05:00:00,27.4,26,11.0
2025-02-05 06:00:00,29.7,23,11.5
2025-02-05 07:00:00,31.3,21,12.2
2025-02-05 08:00:00,31.7,22,14.0
