Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,21.4,69,4.7
2025-01-30 01:00:00,21.1,71,4.1
2025-01-30 02:00:00,21.3,70,4.2
2025-01-30 03:00:00,23.2,62,2.4
2025-01-30 04:00:00,25.9,53,4.1
2025-01-30 05:00:00,28.4,46,6.8
2025-01-30 06:00:00,30.5,39,11.3
2025-01-30 07:00:00,31.6,35,13.5
2025-01-30 08:00:00,32.4,34,13.4
2025-01-30 09:00:00,32.8,33,13.0
2025-01-30 10:00:00,32.9,32,12.3
2025-01-30 11:00:00,32.7,32,11.7
2025-01-30 12:00:00,31.9,32,10.1
2025-01-30 13:00:00,30.0,38,6.4
2025-01-30 14:00:00,29.0,40,3.3
2025-01-30 15:00:00,28.0,43,2.9
2025-01-30 16:00:00,27.1,46,8.8
2025-01-30 17:00:00,26.4,48,6.8
2025-01-30 18:00:00,25.2,52,2.6
2025-01-30 19:00:00,24.3,55,2.7
2025-01-30 20:00:00,23.5,57,2.2
2025-01-30 21:00:00,22.9,57,4.7
2025-01-30 22:00:00,22.2,55,4.6
2025-01-30 23:00:00,21.4,57,5.5
2025-01-31 00:00:00,20.6,60,5.1
2025-01-31 01:00:00,20.1,67,3.5
2025-01-31 02:00:00,20.1,67,2.7
2025-01-31 03:00:00,22.0,60,1.4
2025-01-31 04:00:00,25.1,50,0.7
2025-01-31 05:00:00,27.7,44,1.3
2025-01-31 06:00:00,30.1,36,1.4
2025-01-31 07:00:00,31.6,33,3.1
2025-01-31 08:00:00,32.6,32,5.6
2025-01-31 09:00:00,33.2,30,9.0
2025-01-31 10:00:00,33.3,28,10.8
2025-01-31 11:00:00,32.7,28,12.8
2025-01-31 12:00:00,31.5,30,14.1
2025-01-31 13:00:00,30.0,34,13.1
2025-01-31 14:00:00,29.2,36,11.3
2025-01-31 15:00:00,29.0,35,9.3
2025-01-31 16:00:00,27.8,38,4.2
2025-01-31 17:00:00,26.5,45,0.6
2025-01-31 18:00:00,25.9,44,7.9
2025-01-31 19:00:00,24.9,49,4.9
2025-01-31 20:00:00,23.9,53,1.8
2025-01-31 21:00:00,23.2,55,3.8
2025-01-31 22:00:00,22.3,58,3.2
2025-01-31 23:00:00,21.7,59,3.0
2025-02-01 00:00:00,21.1,60,2.8
2025-02-01 01:00:00,20.4,71,2.6
2025-02-01 02:00:00,21.1,68,3.5
2025-02-01 03:00:00,23.5,59,1.5
2025-02-01 04:00:00,26.4,50,3.1
2025-02-01 05:00:00,28.9,44,6.6
2025-02-01 06:00:00,30.9,37,10.6
2025-02-01 07:00:00,32.0,33,12.7
2025-02-01 08:00:00,32.8,30,12.9
2025-02-01 09:00:00,33.1,29,12.3
2025-02-01 10:00:00,33.0,29,11.5
2025-02-01 11:00:00,32.6,29,10.5
2025-02-01 12:00:00,31.9,30,8.1
2025-02-01 13:00:00,30.3,33,3.7
2025-02-01 14:00:00,28.6,40,9.1
2025-02-01 15:00:00,27.8,42,9.7
2025-02-01 16:00:00,27.1,43,7.4
2025-02-01 17:00:00,26.2,45,3.2
2025-02-01 18:00:00,25.5,47,3.4
2025-02-01 19:00:00,24.6,50,3.8
2025-02-01 20:00:00,23.4,54,7.3
2025-02-01 21:00:00,22.3,58,5.6
2025-02-01 22:00:00,21.4,62,6.0
2025-02-01 23:00:00,20.8,66,6.2
2025-02-02 00:00:00,20.4,67,5.6
2025-02-02 01:00:00,20.5,68,5.9
2025-02-02 02:00:00,20.6,68,5.7
2025-02-02 03:00:00,22.4,61,4.3
2025-02-02 04:00:00,25.5,50,4.0
2025-02-02 05:00:00,28.3,41,3.9
2025-02-02 06:00:00,30.4,36,4.2
2025-02-02 07:00:00,32.1,31,8.0
2025-02-02 08:00:00,33.0,28,10.9
2025-02-02 09:00:00,33.2,27,11.2
2025-02-02 10:00:00,33.1,27,10.5
2025-02-02 11:00:00,32.6,28,8.9
2025-02-02 12:00:00,31.7,30,6.6
2025-02-02 13:00:00,30.2,34,7.7
2025-02-02 14:00:00,29.7,35,8.2
2025-02-02 15:00:00,29.1,37,4.1
2025-02-02 16:00:00,27.6,42,1.3
2025-02-02 17:00:00,26.2,44,2.3
2025-02-02 18:00:00,25.4,47,3.1
2025-02-02 19:00:00,24.9,50,6.7
2025-02-02 20:00:00,23.8,55,9.6
2025-02-02 21:00:00,23.2,56,9.1
2025-02-02 22:00:00,22.5,58,7.6
2025-02-02 23:00:00,21.9,60,7.4
2025-02-03 00:00:00,21.6,61,5.2
2025-02-03 01:00:00,21.6,64,5.5
2025-02-03 02:00:00,21.5,64,6.3
2025-02-03 03:00:00,23.6,56,3.8
2025-02-03 04:00:00,26.9,45,2.6
2025-02-03 05:00:00,29.8,37,2.8
2025-02-03 06:00:00,31.8,33,3.9
2025-02-03 07:00:00,33.2,30,5.2
2025-02-03 08:00:00,34.1,27,5.4
2025-02-03 09:00:00,34.5,26,5.6
2025-02-03 10:00:00,34.4,26,6.6
2025-02-03 11:00:00,34.0,27,8.4
2025-02-03 12:00:00,32.9,28,9.4
2025-02-03 13:00:00,31.4,32,10.2
2025-02-03 14:00:00,30.3,34,7.9
2025-02-03 15:00:00,28.8,38,3.3
2025-02-03 16:00:00,27.6,44,1.5
2025-02-03 17:00:00,27.4,45,0.2
2025-02-03 18:00:00,26.8,44,2.1
2025-02-03 19:00:00,26.0,48,1.1
2025-02-03 20:00:00,24.8,50,2.9
2025-02-03 21:00:00,24.1,54,9.2
2025-02-03 22:00:00,23.1,59,4.6
2025-02-03 23:00:00,22.5,61,4.8
2025-02-04 00:00:00,22.0,63,5.9
2025-02-04 01:00:00,21.6,68,3.6
2025-02-04 02:00:00,21.8,67,2.9
2025-02-04 03:00:00,23.9,59,0.5
2025-02-04 04:00:00,27.0,48,0.6
2025-02-04 05:00:00,29.9,39,2.0
2025-02-04 06:00:00,31.9,33,4.6
2025-02-04 07:00:00,33.4,29,6.8
2025-02-04 08:00:00,34.3,25,8.9
2025-02-04 09:00:00,34.5,23,10.3
2025-02-04 10:00:00,34.3,22,11.5
2025-02-04 11:00:00,33.7,22,12.0
2025-02-04 12:00:00,32.6,23,9.8
2025-02-04 13:00:00,31.3,26,8.0
2025-02-04 14:00:00,29.8,30,8.5
2025-02-04 15:00:00,28.2,38,11.1
2025-02-04 16:00:00,27.8,35,9.8
2025-02-04 17:00:00,27.1,34,3.4
2025-02-04 18:00:00,26.6,35,4.8
2025-02-04 19:00:00,25.9,39,5.1
2025-02-04 20:00:00,24.6,45,9.1
2025-02-04 21:00:00,24.2,48,8.4
2025-02-04 22:00:00,23.6,51,6.9
2025-02-04 23:00:00,22.7,57,6.7
2025-02-05 00:00:00,21.8,64,9.5
2025-02-05 01:00:00,22.0,66,9.8
2025-02-05 02:00:00,22.2,65,8.7
2025-02-05 03:00:00,24.2,56,6.5
2025-02-05 04:00:00,26.8,46,6.1
2025-02-05 05:00:00,29.4,38,6.0
2025-02-05 06:00:00,31.2,33,5.7
2025-02-05 07:00:00,32.4,30,5.1
2025-02-05 08:00:00,33.3,27,5.2
2025-02-05 09:00:00,33.9,25,6.1
2025-02-05 10:00:00,34.1,23,7.6
2025-02-05 11:00:00,33.7,22,8.9
2025-02-05 12:00:00,32.7,24,9.1
2025-02-05 13:00:00,31.0,28,5.8
2025-02-05 14:00:00,29.6,32,2.6
2025-02-05 15:00:00,28.8,40,0.0
2025-02-05 16:00:00,28.1,45,0.3
2025-02-05 17:00:00,27.0,39,11.1
2025-02-05 18:00:00,25.0,49,13.8
2025-02-05 19:00:00,24.3,54,12.5
2025-02-05 20:00:00,23.7,56,12.4
2025-02-05 21:00:00,23.1,59,10.0
2025-02-05 22:00:00,22.4,62,11.0
2025-02-05 23:00:00,21.7,65,11.6
2025-02-06 00:00:00,21.1,67,12.3
2025-02-06 01:00:00,20.4,73,12.4
2025-02-06 02:00:00,20.5,72,10.8
2025-02-06 03:00:00,21.7,64,11.8
2025-02-06 04:00:00,23.8,54,11.0
2025-02-06 05:00:00,26.3,43,11.5
2025-02-06 06:00:00,28.4,36,11.0
2025-02-06 07:00:00,30.0,33,9.8
2025-02-06 08:00:00,30.9,31,8.4
2025-02-06 09:00:00,31.5,30,7.3
2025-02-06 10:00:00,31.6,29,6.6
2025-02-06 11:00:00,31.3,29,5.9
2025-02-06 12:00:00,30.6,29,6.1
2025-02-06 13:00:00,28.6,33,5.7
2025-02-06 14:00:00,27.2,31,11.2
2025-02-06 15:00:00,25.7,29,11.8
2025-02-06 16:00:00,24.3,30,12.6
2025-02-06 17:00:00,23.0,31,12.1
2025-02-06 18:00:00,22.0,32,11.1
2025-02-06 19:00:00,21.3,32,10.9
2025-02-06 20:00:00,20.7,33,10.7
2025-02-06 21:00:00,20.2,33,11.0
2025-02-06 22:00:00,19.7,34,11.6
2025-02-06 23:00:00,19.3,35,11.4
2025-02-07 00:00:00,18.8,37,10.3
2025-02-07 01:00:00,18.8,39,10.1
2025-02-07 02:00:00,19.0,39,9.1
2025-02-07 03:00:00,20.6,35,9.9
2025-02-07 04:00:00,23.0,30,9.3
2025-02-07 05:00:00,25.7,24,10.4
2025-02-07 06:00:00,28.0,20,10.2
2025-02-07 07:00:00,29.6,20,8.1
2025-02-07 08:00:00,30.7,21,6.3
2025-02-07 09:00:00,31.2,21,4.9
2025-02-07 10:00:00,31.5,22,4.2
2025-02-07 11:00:00,31.1,23,4.0
2025-02-07 12:00:00,30.2,24,4.8
2025-02-07 13:00:00,28.2,29,4.6
2025-02-07 14:00:00,27.1,32,5.0
2025-02-07 15:00:00,26.1,37,2.3
2025-02-07 16:00:00,25.7,36,4.1
2025-02-07 17:00:00,24.3,40,10.1
2025-02-07 18:00:00,23.0,39,9.7
2025-02-07 19:00:00,21.7,38,8.7
2025-02-07 20:00:00,21.0,38,7.1
2025-02-07 21:00:00,20.4,39,9.7
2025-02-07 22:00:00,19.8,40,8.9
2025-02-07 23:00:00,19.4,42,4.7
2025-02-08 00:00:00,19.1,43,5.9
2025-02-08 01:00:00,18.9,43,7.9
2025-02-08 02:00:00,19.0,41,8.5
2025-02-08 03:00:00,20.9,36,8.2
2025-02-08 04:00:00,23.6,30,8.5
2025-02-08 05:00:00,26.6,26,8.0
2025-02-08 06:00:00,28.9,25,6.8
2025-02-08 07:00:00,30.5,24,4.9
2025-02-08 08:00:00,31.5,24,3.1
2025-02-08 09:00:00,32.3,23,0.4
2025-02-08 10:00:00,32.5,23,2.8
2025-02-08 11:00:00,32.3,24,7.0
2025-02-08 12:00:00,31.1,26,9.9
2025-02-08 13:00:00,29.1,32,1.8
2025-02-08 14:00:00,28.2,33,5.2
2025-02-08 15:00:00,27.4,35,6.3
2025-02-08 16:00:00,25.8,40,1.2
2025-02-08 17:00:00,25.0,42,10.5
2025-02-08 18:00:00,24.3,39,9.3
2025-02-08 19:00:00,23.1,37,8.3
2025-02-08 20:00:00,22.4,35,9.1
2025-02-08 21:00:00,21.8,34,8.1
2025-02-08 22:00:00,21.1,34,8.5
2025-02-08 23:00:00,20.5,35,8.4
2025-02-09 00:00:00,19.9,37,8.0
2025-02-09 01:00:00,19.6,42,7.9
2025-02-09 02:00:00,19.8,42,7.5
2025-02-09 03:00:00,21.9,35,5.7
2025-02-09 04:00:00,25.0,26,6.7
2025-02-09 05:00:00,27.8,20,6.3
2025-02-09 06:00:00,29.9,19,5.6
2025-02-09 07:00:00,31.3,20,4.3
2025-02-09 08:00:00,32.4,20,2.1
2025-02-09 09:00:00,33.2,20,0.7
2025-02-09 10:00:00,33.1,21,3.8
2025-02-09 11:00:00,32.7,23,7.2
2025-02-09 12:00:00,31.9,24,7.7
2025-02-09 13:00:00,29.8,31,1.7
2025-02-09 14:00:00,28.5,32,7.3
2025-02-09 15:00:00,27.7,36,6.5
2025-02-09 16:00:00,26.9,38,8.0
2025-02-09 17:00:00,26.2,39,4.1
2025-02-09 18:00:00,24.8,43,2.4
2025-02-09 19:00:00,24.4,43,7.4
2025-02-09 20:00:00,23.8,44,7.3
2025-02-09 21:00:00,22.9,47,5.5
2025-02-09 22:00:00,21.9,51,6.6
2025-02-09 23:00:00,21.2,53,2.7
2025-02-10 00:00:00,20.9,54,3.4
2025-02-10 01:00:00,20.2,65,1.1
2025-02-10 02:00:00,20.6,61,1.8
2025-02-10 03:00:00,23.2,50,1.9
2025-02-10 04:00:00,26.5,37,2.7
2025-02-10 05:00:00,29.4,29,2.5
2025-02-10 06:00:00,31.5,26,3.3
2025-02-10 07:00:00,32.9,24,5.4
2025-02-10 08:00:00,33.8,24,7.1
2025-02-10 09:00:00,34.1,23,8.4
2025-02-10 10:00:00,34.1,23,8.4
2025-02-10 11:00:00,33.8,23,8.6
2025-02-10 12:00:00,32.8,25,9.3
2025-02-10 13:00:00,31.3,29,4.8
2025-02-10 14:00:00,29.9,33,0.7
2025-02-10 15:00:00,29.4,34,6.3
2025-02-10 16:00:00,28.3,37,3.7
2025-02-10 17:00:00,27.3,39,4.0
2025-02-10 18:00:00,26.4,42,10.2
2025-02-10 19:00:00,26.0,43,9.5
2025-02-10 20:00:00,24.9,46,4.6
2025-02-10 21:00:00,23.7,51,2.0
2025-02-10 22:00:00,23.2,51,3.3
