Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,11.2,96,2.9
2025-01-30 01:00:00,11.1,100,4.0
2025-01-30 02:00:00,11.5,99,3.3
2025-01-30 03:00:00,12.9,97,2.9
2025-01-30 04:00:00,15.7,85,3.2
2025-01-30 05:00:00,19.0,73,4.0
2025-01-30 06:00:00,21.3,62,5.1
2025-01-30 07:00:00,22.8,54,6.7
2025-01-30 08:00:00,23.5,50,7.8
2025-01-30 09:00:00,23.7,51,8.1
2025-01-30 10:00:00,23.4,56,8.3
2025-01-30 11:00:00,22.5,62,7.8
2025-01-30 12:00:00,20.6,73,6.8
2025-01-30 13:00:00,19.5,79,6.9
2025-01-30 14:00:00,18.3,83,7.5
2025-01-30 15:00:00,17.6,81,7.9
2025-01-30 16:00:00,16.9,84,7.1
2025-01-30 17:00:00,16.2,87,6.4
2025-01-30 18:00:00,15.6,89,5.5
2025-01-30 19:00:00,15.2,90,6.3
2025-01-30 20:00:00,15.1,91,8.1
2025-01-30 21:00:00,14.8,92,8.9
2025-01-30 22:00:00,14.3,93,5.0
2025-01-30 23:00:00,13.0,96,7.7
2025-01-31 00:00:00,12.4,97,7.0
2025-01-31 01:00:00,12.3,100,6.6
2025-01-31 02:00:00,12.7,99,6.8
2025-01-31 03:00:00,13.9,97,6.9
2025-01-31 04:00:00,16.6,87,4.2
2025-01-31 05:00:00,20.9,67,4.9
2025-01-31 06:00:00,23.4,55,6.9
2025-01-31 07:00:00,24.8,47,7.0
2025-01-31 08:00:00,25.6,42,7.9
2025-01-31 09:00:00,25.8,40,8.1
2025-01-31 10:00:00,25.4,43,7.5
2025-01-31 11:00:00,24.5,48,6.9
2025-01-31 12:00:00,22.1,65,3.6
2025-01-31 13:00:00,21.0,71,4.3
2025-01-31 14:00:00,19.5,82,2.9
2025-01-31 15:00:00,18.7,85,1.5
2025-01-31 16:00:00,17.8,88,2.0
2025-01-31 17:00:00,17.1,89,3.4
2025-01-31 18:00:00,16.6,91,4.7
2025-01-31 19:00:00,15.7,93,3.1
2025-01-31 20:00:00,15.0,96,4.3
2025-01-31 21:00:00,14.9,96,2.3
2025-01-31 22:00:00,14.4,97,1.9
2025-01-31 23:00:00,13.8,100,2.8
2025-02-01 00:00:00,13.4,99,5.8
2025-02-01 01:00:00,13.5,100,2.5
2025-02-01 02:00:00,13.9,99,1.9
