Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,20.7,47,0.4
2025-01-30 01:00:00,19.7,56,0.4
2025-01-30 02:00:00,19.9,56,0.2
2025-01-30 03:00:00,22.0,46,1.3
2025-01-30 04:00:00,25.1,37,2.0
2025-01-30 05:00:00,28.6,29,1.7
2025-01-30 06:00:00,31.6,25,0.9
2025-01-30 07:00:00,32.9,23,4.0
2025-01-30 08:00:00,33.6,22,5.3
2025-01-30 09:00:00,34.1,21,5.3
2025-01-30 10:00:00,34.3,21,6.5
2025-01-30 11:00:00,33.6,24,11.0
2025-01-30 12:00:00,31.9,28,14.3
2025-01-30 13:00:00,30.1,32,15.2
2025-01-30 14:00:00,27.4,42,13.2
2025-01-30 15:00:00,26.3,45,8.8
2025-01-30 16:00:00,25.4,48,5.1
2025-01-30 17:00:00,24.6,51,4.3
2025-01-30 18:00:00,24.0,52,3.9
2025-01-30 19:00:00,23.3,54,6.1
2025-01-30 20:00:00,22.6,55,7.0
2025-01-30 21:00:00,22.0,56,5.5
2025-01-30 22:00:00,20.9,60,3.2
2025-01-30 23:00:00,20.2,65,1.8
2025-01-31 00:00:00,19.8,67,0.6
2025-01-31 01:00:00,19.3,68,4.2
2025-01-31 02:00:00,19.2,67,4.1
2025-01-31 03:00:00,21.8,56,3.2
2025-01-31 04:00:00,25.6,42,0.8
2025-01-31 05:00:00,28.6,32,1.5
2025-01-31 06:00:00,30.8,27,2.1
2025-01-31 07:00:00,32.1,24,4.1
2025-01-31 08:00:00,33.2,22,5.5
2025-01-31 09:00:00,33.8,20,7.2
2025-01-31 10:00:00,33.7,20,9.5
2025-01-31 11:00:00,33.0,20,11.4
2025-01-31 12:00:00,31.8,20,11.6
2025-01-31 13:00:00,29.4,25,12.7
2025-01-31 14:00:00,27.0,34,13.1
2025-01-31 15:00:00,25.5,39,9.9
2025-01-31 16:00:00,24.4,44,7.8
2025-01-31 17:00:00,23.5,48,5.1
2025-01-31 18:00:00,22.4,53,5.0
2025-01-31 19:00:00,21.9,56,4.7
2025-01-31 20:00:00,21.2,59,4.4
2025-01-31 21:00:00,20.5,62,3.4
2025-01-31 22:00:00,19.8,66,2.9
2025-01-31 23:00:00,19.1,70,2.7
2025-02-01 00:00:00,18.4,74,1.9
2025-02-01 01:00:00,17.5,80,3.0
2025-02-01 02:00:00,17.5,78,2.5
2025-02-01 03:00:00,20.0,65,2.3
2025-02-01 04:00:00,23.4,44,1.3
2025-02-01 05:00:00,26.8,31,2.2
2025-02-01 06:00:00,29.4,24,2.0
2025-02-01 07:00:00,31.5,20,1.2
2025-02-01 08:00:00,33.1,18,3.1
2025-02-01 09:00:00,34.0,17,6.8
2025-02-01 10:00:00,33.9,17,11.0
2025-02-01 11:00:00,33.1,18,12.7
2025-02-01 12:00:00,31.7,20,12.6
2025-02-01 13:00:00,29.0,28,13.9
2025-02-01 14:00:00,26.6,36,12.1
2025-02-01 15:00:00,25.3,45,8.1
2025-02-01 16:00:00,24.3,52,3.7
2025-02-01 17:00:00,23.5,54,5.8
2025-02-01 18:00:00,22.8,59,5.3
2025-02-01 19:00:00,22.0,70,0.5
2025-02-01 20:00:00,21.5,71,0.9
2025-02-01 21:00:00,20.7,73,2.1
2025-02-01 22:00:00,19.9,79,1.5
2025-02-01 23:00:00,19.6,80,0.4
2025-02-02 00:00:00,19.0,83,0.4
2025-02-02 01:00:00,18.3,84,0.2
2025-02-02 02:00:00,18.4,82,0.9
2025-02-02 03:00:00,20.5,68,1.5
2025-02-02 04:00:00,23.6,47,3.0
2025-02-02 05:00:00,26.8,37,4.2
2025-02-02 06:00:00,29.4,30,6.2
2025-02-02 07:00:00,31.1,27,5.6
2025-02-02 08:00:00,32.3,25,3.7
2025-02-02 09:00:00,33.0,24,4.9
2025-02-02 10:00:00,33.4,24,7.3
2025-02-02 11:00:00,33.3,24,9.4
2025-02-02 12:00:00,32.6,24,11.0
2025-02-02 13:00:00,31.3,26,8.2
2025-02-02 14:00:00,28.2,37,13.9
2025-02-02 15:00:00,26.8,39,8.5
2025-02-02 16:00:00,26.0,40,5.5
2025-02-02 17:00:00,25.1,43,6.4
2025-02-02 18:00:00,24.2,46,3.0
2025-02-02 19:00:00,23.3,51,2.0
2025-02-02 20:00:00,22.8,51,2.3
2025-02-02 21:00:00,22.0,55,3.3
2025-02-02 22:00:00,21.3,58,2.7
2025-02-02 23:00:00,20.7,61,2.8
2025-02-03 00:00:00,20.3,64,1.5
2025-02-03 01:00:00,19.7,65,1.7
2025-02-03 02:00:00,19.9,64,0.9
2025-02-03 03:00:00,22.3,53,1.0
2025-02-03 04:00:00,25.3,41,2.4
2025-02-03 05:00:00,28.2,36,5.5
2025-02-03 06:00:00,31.0,30,5.4
2025-02-03 07:00:00,33.0,24,5.1
2025-02-03 08:00:00,34.0,21,6.3
2025-02-03 09:00:00,34.3,20,9.1
2025-02-03 10:00:00,34.2,18,8.9
2025-02-03 11:00:00,34.2,17,7.3
2025-02-03 12:00:00,33.7,17,4.0
2025-02-03 13:00:00,28.5,39,16.7
2025-02-03 14:00:00,26.8,42,10.1
2025-02-03 15:00:00,26.1,44,10.0
2025-02-03 16:00:00,25.0,45,4.6
2025-02-03 17:00:00,24.2,48,5.2
2025-02-03 18:00:00,23.4,52,7.5
2025-02-03 19:00:00,22.3,58,2.3
2025-02-03 20:00:00,21.9,60,6.0
2025-02-03 21:00:00,21.3,63,3.1
2025-02-03 22:00:00,20.7,67,1.5
2025-02-03 23:00:00,20.2,70,0.7
2025-02-04 00:00:00,19.7,72,0.7
2025-02-04 01:00:00,18.7,78,1.8
2025-02-04 02:00:00,18.6,78,0.4
2025-02-04 03:00:00,20.8,66,1.2
2025-02-04 04:00:00,24.5,48,2.1
2025-02-04 05:00:00,27.7,38,4.1
2025-02-04 06:00:00,30.4,30,4.3
2025-02-04 07:00:00,32.7,20,2.9
2025-02-04 08:00:00,33.8,15,5.7
2025-02-04 09:00:00,34.2,15,7.8
2025-02-04 10:00:00,34.0,17,7.8
2025-02-04 11:00:00,33.3,21,10.1
2025-02-04 12:00:00,31.3,27,16.7
2025-02-04 13:00:00,29.0,31,15.2
2025-02-04 14:00:00,27.4,37,14.6
2025-02-04 15:00:00,25.8,43,9.7
2025-02-04 16:00:00,25.0,46,6.5
2025-02-04 17:00:00,24.1,49,6.8
2025-02-04 18:00:00,23.2,53,7.0
2025-02-04 19:00:00,22.5,55,7.4
2025-02-04 20:00:00,21.7,58,5.1
2025-02-04 21:00:00,21.2,60,5.1
2025-02-04 22:00:00,20.5,65,1.4
2025-02-04 23:00:00,20.0,66,1.8
2025-02-05 00:00:00,19.6,69,0.6
2025-02-05 01:00:00,18.9,75,0.7
2025-02-05 02:00:00,18.7,75,2.4
2025-02-05 03:00:00,20.9,61,3.9
2025-02-05 04:00:00,23.4,47,6.1
2025-02-05 05:00:00,26.1,37,7.2
2025-02-05 06:00:00,28.6,30,8.6
2025-02-05 07:00:00,30.5,26,8.7
2025-02-05 08:00:00,31.7,23,7.7
2025-02-05 09:00:00,32.5,22,7.3
2025-02-05 10:00:00,33.1,20,6.0
2025-02-05 11:00:00,33.1,19,3.5
2025-02-05 12:00:00,32.5,19,4.7
2025-02-05 13:00:00,30.2,28,15.0
2025-02-05 14:00:00,27.8,32,15.2
2025-02-05 15:00:00,26.6,32,8.3
2025-02-05 16:00:00,25.6,35,8.0
2025-02-05 17:00:00,25.0,36,3.4
2025-02-05 18:00:00,24.1,39,3.6
2025-02-05 19:00:00,23.4,42,1.1
2025-02-05 20:00:00,22.4,46,1.0
2025-02-05 21:00:00,21.4,49,2.2
2025-02-05 22:00:00,21.0,51,0.9
2025-02-05 23:00:00,20.7,49,1.1
2025-02-06 00:00:00,20.0,51,2.7
2025-02-06 01:00:00,18.9,58,2.5
2025-02-06 02:00:00,19.0,58,2.8
2025-02-06 03:00:00,20.7,54,4.5
2025-02-06 04:00:00,23.1,48,7.3
2025-02-06 05:00:00,25.8,41,7.6
2025-02-06 06:00:00,28.9,33,8.5
2025-02-06 07:00:00,31.3,27,7.6
2025-02-06 08:00:00,33.1,21,5.9
