Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,18.1,70,5.4
2025-01-30 01:00:00,17.0,80,6.2
2025-01-30 02:00:00,16.7,82,8.1
2025-01-30 03:00:00,18.6,72,7.9
2025-01-30 04:00:00,22.5,52,5.8
2025-01-30 05:00:00,25.8,35,7.0
2025-01-30 06:00:00,28.2,31,7.4
2025-01-30 07:00:00,30.0,28,7.1
2025-01-30 08:00:00,31.4,26,5.4
2025-01-30 09:00:00,31.9,27,6.0
2025-01-30 10:00:00,31.7,28,7.6
2025-01-30 11:00:00,31.0,28,8.6
2025-01-30 12:00:00,29.9,27,8.4
2025-01-30 13:00:00,27.7,34,6.1
2025-01-30 14:00:00,26.1,39,4.5
2025-01-30 15:00:00,24.8,42,3.8
2025-01-30 16:00:00,24.2,43,2.5
2025-01-30 17:00:00,23.2,44,5.0
2025-01-30 18:00:00,22.3,52,6.0
2025-01-30 19:00:00,21.1,63,4.1
2025-01-30 20:00:00,20.3,74,3.7
2025-01-30 21:00:00,19.7,80,3.4
2025-01-30 22:00:00,19.0,85,3.1
2025-01-30 23:00:00,18.3,87,2.3
2025-01-31 00:00:00,17.3,91,2.6
2025-01-31 01:00:00,17.7,95,6.8
2025-01-31 02:00:00,17.3,95,6.1
2025-01-31 03:00:00,18.9,85,4.7
2025-01-31 04:00:00,22.5,61,3.0
2025-01-31 05:00:00,25.4,42,3.8
2025-01-31 06:00:00,27.8,34,3.7
2025-01-31 07:00:00,29.4,32,3.7
2025-01-31 08:00:00,30.2,32,6.5
2025-01-31 09:00:00,30.5,29,8.7
2025-01-31 10:00:00,30.2,26,9.9
2025-01-31 11:00:00,29.4,23,9.6
2025-01-31 12:00:00,28.3,22,7.5
2025-01-31 13:00:00,25.9,31,7.0
2025-01-31 14:00:00,24.0,40,6.8
2025-01-31 15:00:00,22.8,47,7.5
2025-01-31 16:00:00,22.0,54,7.0
2025-01-31 17:00:00,21.4,63,6.1
2025-01-31 18:00:00,20.6,73,4.9
2025-01-31 19:00:00,20.0,81,4.8
2025-01-31 20:00:00,19.7,87,5.2
2025-01-31 21:00:00,19.2,92,4.5
2025-01-31 22:00:00,18.9,92,5.3
2025-01-31 23:00:00,18.4,92,8.7
2025-02-01 00:00:00,17.7,91,8.4
2025-02-01 01:00:00,17.6,84,8.7
2025-02-01 02:00:00,17.1,79,8.1
2025-02-01 03:00:00,18.5,67,6.6
2025-02-01 04:00:00,21.3,51,7.1
2025-02-01 05:00:00,23.5,44,7.0
2025-02-01 06:00:00,25.7,36,7.7
2025-02-01 07:00:00,27.2,33,7.9
2025-02-01 08:00:00,28.2,32,8.1
2025-02-01 09:00:00,28.7,30,8.5
2025-02-01 10:00:00,28.7,29,9.2
2025-02-01 11:00:00,28.1,26,9.8
2025-02-01 12:00:00,27.2,24,8.9
2025-02-01 13:00:00,25.5,25,8.0
2025-02-01 14:00:00,24.3,26,8.2
2025-02-01 15:00:00,23.6,28,8.0
2025-02-01 16:00:00,22.9,29,7.3
2025-02-01 17:00:00,22.0,31,9.5
2025-02-01 18:00:00,21.1,36,8.6
2025-02-01 19:00:00,20.3,43,8.2
2025-02-01 20:00:00,19.5,48,8.0
2025-02-01 21:00:00,18.7,52,8.5
2025-02-01 22:00:00,18.0,54,9.6
2025-02-01 23:00:00,17.6,54,10.2
2025-02-02 00:00:00,17.2,52,10.6
2025-02-02 01:00:00,16.8,55,10.1
2025-02-02 02:00:00,16.7,54,10.2
2025-02-02 03:00:00,18.3,49,9.9
2025-02-02 04:00:00,21.6,39,8.7
2025-02-02 05:00:00,25.0,31,11.0
2025-02-02 06:00:00,27.3,26,11.6
2025-02-02 07:00:00,29.0,24,10.3
2025-02-02 08:00:00,30.3,23,9.5
2025-02-02 09:00:00,30.9,22,9.4
2025-02-02 10:00:00,30.8,23,10.3
2025-02-02 11:00:00,30.0,26,11.0
