Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,18.6,93,2.7
2025-01-30 01:00:00,18.2,97,3.1
2025-01-30 02:00:00,18.2,96,3.0
2025-01-30 03:00:00,20.2,82,3.3
2025-01-30 04:00:00,24.1,61,2.0
2025-01-30 05:00:00,27.9,45,2.2
2025-01-30 06:00:00,31.1,35,1.6
2025-01-30 07:00:00,33.8,26,0.0
2025-01-30 08:00:00,35.0,23,4.4
2025-01-30 09:00:00,35.0,26,9.0
2025-01-30 10:00:00,34.4,28,9.5
2025-01-30 11:00:00,33.8,28,8.1
2025-01-30 12:00:00,32.3,30,9.0
2025-01-30 13:00:00,29.8,34,10.2
2025-01-30 14:00:00,27.6,37,8.7
2025-01-30 15:00:00,26.4,40,6.2
2025-01-30 16:00:00,25.4,44,3.9
2025-01-30 17:00:00,24.3,47,4.1
2025-01-30 18:00:00,23.4,50,4.8
2025-01-30 19:00:00,22.5,56,2.7
2025-01-30 20:00:00,21.7,58,2.7
2025-01-30 21:00:00,21.0,58,5.5
2025-01-30 22:00:00,20.3,59,5.3
2025-01-30 23:00:00,19.6,66,3.8
2025-01-31 00:00:00,19.1,72,3.6
2025-01-31 01:00:00,18.5,84,2.5
2025-01-31 02:00:00,18.1,90,2.2
2025-01-31 03:00:00,19.9,81,3.4
2025-01-31 04:00:00,23.6,58,2.2
2025-01-31 05:00:00,27.1,42,2.3
2025-01-31 06:00:00,30.2,32,2.1
2025-01-31 07:00:00,32.3,26,2.1
2025-01-31 08:00:00,33.3,26,4.9
2025-01-31 09:00:00,33.3,28,8.8
2025-01-31 10:00:00,32.4,32,11.5
2025-01-31 11:00:00,31.1,34,11.8
2025-01-31 12:00:00,29.4,40,10.8
2025-01-31 13:00:00,26.7,53,10.2
2025-01-31 14:00:00,24.8,65,10.7
2025-01-31 15:00:00,23.4,71,9.7
2025-01-31 16:00:00,22.7,70,7.0
2025-01-31 17:00:00,22.1,70,2.8
2025-01-31 18:00:00,21.1,76,2.4
2025-01-31 19:00:00,20.3,82,2.2
2025-01-31 20:00:00,19.5,88,2.2
2025-01-31 21:00:00,18.9,92,1.3
2025-01-31 22:00:00,18.2,96,1.8
2025-01-31 23:00:00,17.8,97,2.8
2025-02-01 00:00:00,17.6,94,3.0
2025-02-01 01:00:00,17.3,94,6.1
2025-02-01 02:00:00,17.2,92,4.6
2025-02-01 03:00:00,18.8,84,3.1
2025-02-01 04:00:00,21.7,71,3.5
2025-02-01 05:00:00,25.2,57,4.5
2025-02-01 06:00:00,28.2,38,3.3
2025-02-01 07:00:00,30.6,29,2.1
2025-02-01 08:00:00,32.0,28,3.5
2025-02-01 09:00:00,32.2,31,7.7
2025-02-01 10:00:00,31.7,36,10.9
2025-02-01 11:00:00,30.6,39,12.8
2025-02-01 12:00:00,28.9,42,12.8
2025-02-01 13:00:00,26.9,48,10.8
2025-02-01 14:00:00,25.4,52,9.2
2025-02-01 15:00:00,24.3,54,8.5
2025-02-01 16:00:00,23.5,53,8.0
2025-02-01 17:00:00,23.0,51,7.8
2025-02-01 18:00:00,22.6,49,7.1
2025-02-01 19:00:00,21.7,52,3.7
2025-02-01 20:00:00,20.8,60,3.1
2025-02-01 21:00:00,20.5,59,4.3
2025-02-01 22:00:00,19.9,62,4.1
2025-02-01 23:00:00,19.5,65,4.3
2025-02-02 00:00:00,19.2,67,4.5
2025-02-02 01:00:00,18.5,75,3.9
2025-02-02 02:00:00,18.4,77,3.5
2025-02-02 03:00:00,20.1,68,4.0
2025-02-02 04:00:00,23.6,50,3.1
2025-02-02 05:00:00,27.1,37,3.0
2025-02-02 06:00:00,30.3,29,2.1
2025-02-02 07:00:00,32.7,24,2.3
