Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,17.7,45,7.3
2025-01-30 01:00:00,16.9,53,5.2
2025-01-30 02:00:00,16.5,54,6.4
2025-01-30 03:00:00,17.8,49,5.4
2025-01-30 04:00:00,21.0,40,2.6
2025-01-30 05:00:00,24.4,34,1.9
2025-01-30 06:00:00,26.9,32,2.3
2025-01-30 07:00:00,28.8,30,2.8
2025-01-30 08:00:00,29.9,28,4.9
2025-01-30 09:00:00,30.4,27,6.9
2025-01-30 10:00:00,30.2,28,7.8
2025-01-30 11:00:00,29.6,31,8.0
2025-01-30 12:00:00,28.5,35,7.7
2025-01-30 13:00:00,26.9,40,8.5
2025-01-30 14:00:00,25.8,45,6.8
2025-01-30 15:00:00,25.1,49,4.3
2025-01-30 16:00:00,24.1,53,3.2
2025-01-30 17:00:00,23.7,54,2.7
2025-01-30 18:00:00,22.7,57,3.2
2025-01-30 19:00:00,22.0,59,5.1
2025-01-30 20:00:00,20.9,62,6.8
2025-01-30 21:00:00,19.9,62,6.9
2025-01-30 22:00:00,19.0,60,7.2
2025-01-30 23:00:00,18.2,59,7.4
2025-01-31 00:00:00,17.5,61,7.3
2025-01-31 01:00:00,16.9,66,6.0
2025-01-31 02:00:00,16.5,67,6.4
2025-01-31 03:00:00,17.6,63,3.5
2025-01-31 04:00:00,20.5,54,0.0
2025-01-31 05:00:00,23.6,45,0.4
2025-01-31 06:00:00,26.2,40,1.7
2025-01-31 07:00:00,28.0,34,3.2
2025-01-31 08:00:00,28.9,31,6.0
2025-01-31 09:00:00,29.2,30,7.3
2025-01-31 10:00:00,29.0,31,7.2
2025-01-31 11:00:00,28.5,33,7.8
2025-01-31 12:00:00,27.4,35,8.7
2025-01-31 13:00:00,26.0,39,7.7
2025-01-31 14:00:00,25.0,42,4.4
2025-01-31 15:00:00,23.5,47,3.1
2025-01-31 16:00:00,22.8,51,2.6
2025-01-31 17:00:00,22.0,51,3.2
2025-01-31 18:00:00,21.9,49,5.6
2025-01-31 19:00:00,21.1,51,8.5
2025-01-31 20:00:00,19.9,56,8.0
2025-01-31 21:00:00,18.9,57,8.2
2025-01-31 22:00:00,18.1,55,8.4
2025-01-31 23:00:00,17.5,52,8.9
2025-02-01 00:00:00,16.9,50,8.4
2025-02-01 01:00:00,16.6,54,8.0
2025-02-01 02:00:00,16.1,56,7.0
2025-02-01 03:00:00,17.1,55,4.6
2025-02-01 04:00:00,19.4,53,4.9
2025-02-01 05:00:00,21.7,47,5.6
2025-02-01 06:00:00,24.0,38,5.7
2025-02-01 07:00:00,25.8,31,5.5
2025-02-01 08:00:00,27.0,27,6.2
2025-02-01 09:00:00,27.5,25,7.4
2025-02-01 10:00:00,27.6,23,8.1
2025-02-01 11:00:00,27.2,22,8.5
2025-02-01 12:00:00,26.1,25,8.4
2025-02-01 13:00:00,24.5,33,6.8
2025-02-01 14:00:00,23.4,38,6.5
2025-02-01 15:00:00,22.5,41,5.4
2025-02-01 16:00:00,22.0,42,7.5
2025-02-01 17:00:00,21.4,42,8.9
2025-02-01 18:00:00,20.5,44,10.1
2025-02-01 19:00:00,19.7,43,10.4
2025-02-01 20:00:00,19.0,42,10.2
2025-02-01 21:00:00,18.3,42,10.2
2025-02-01 22:00:00,17.7,42,10.1
2025-02-01 23:00:00,17.1,42,9.8
2025-02-02 00:00:00,16.5,44,9.1
2025-02-02 01:00:00,15.9,56,8.7
2025-02-02 02:00:00,15.6,59,8.7
2025-02-02 03:00:00,17.1,55,7.9
2025-02-02 04:00:00,20.4,45,4.9
2025-02-02 05:00:00,23.9,34,5.9
2025-02-02 06:00:00,26.3,28,6.0
2025-02-02 07:00:00,27.9,24,4.2
2025-02-02 08:00:00,29.1,22,3.1
2025-02-02 09:00:00,29.9,21,3.1
2025-02-02 10:00:00,30.0,21,4.5
2025-02-02 11:00:00,29.8,22,6.3
2025-02-02 12:00:00,28.6,24,8.6
2025-02-02 13:00:00,26.2,31,9.5
2025-02-02 14:00:00,24.6,38,9.4
2025-02-02 15:00:00,23.5,39,9.3
2025-02-02 16:00:00,22.9,38,8.9
2025-02-02 17:00:00,22.2,39,7.8
2025-02-02 18:00:00,21.4,40,6.7
2025-02-02 19:00:00,20.6,41,5.8
2025-02-02 20:00:00,20.2,42,5.4
2025-02-02 21:00:00,19.9,43,6.0
2025-02-02 22:00:00,19.8,43,5.5
2025-02-02 23:00:00,19.4,45,4.5
2025-02-03 00:00:00,18.6,49,3.5
2025-02-03 01:00:00,18.2,55,2.5
2025-02-03 02:00:00,17.8,59,2.0
2025-02-03 03:00:00,19.4,54,3.5
2025-02-03 04:00:00,23.0,43,2.2
2025-02-03 05:00:00,26.4,32,2.2
2025-02-03 06:00:00,28.6,25,3.8
