Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-01-30 00:00:00,20.7,93,4.3
2025-01-30 01:00:00,21.3,93,4.2
2025-01-30 02:00:00,22.7,87,4.1
2025-01-30 03:00:00,25.0,77,3.9
2025-01-30 04:00:00,26.4,70,8.1
2025-01-30 05:00:00,27.4,64,7.7
2025-01-30 06:00:00,27.7,62,9.9
2025-01-30 07:00:00,28.3,61,12.1
2025-01-30 08:00:00,28.7,60,11.2
2025-01-30 09:00:00,28.7,60,12.2
2025-01-30 10:00:00,27.7,64,13.3
2025-01-30 11:00:00,26.8,67,12.4
2025-01-30 12:00:00,25.5,73,11.0
2025-01-30 13:00:00,24.4,79,9.5
2025-01-30 14:00:00,24.2,80,7.2
2025-01-30 15:00:00,24.0,82,6.1
2025-01-30 16:00:00,23.8,84,6.5
2025-01-30 17:00:00,23.6,87,7.0
2025-01-30 18:00:00,23.4,90,8.0
2025-01-30 19:00:00,23.0,93,8.2
2025-01-30 20:00:00,22.6,95,6.8
2025-01-30 21:00:00,22.3,96,6.8
2025-01-30 22:00:00,22.0,97,7.0
2025-01-30 23:00:00,21.9,97,6.3
2025-01-31 00:00:00,21.8,96,6.1
2025-01-31 01:00:00,21.1,96,5.6
2025-01-31 02:00:00,22.2,92,5.9
2025-01-31 03:00:00,24.4,82,5.7
2025-01-31 04:00:00,26.5,72,6.4
2025-01-31 05:00:00,28.4,63,6.0
2025-01-31 06:00:00,29.8,57,6.5
2025-01-31 07:00:00,30.5,55,8.2
2025-01-31 08:00:00,30.4,57,10.8
2025-01-31 09:00:00,29.8,58,12.4
2025-01-31 10:00:00,29.0,59,12.9
2025-01-31 11:00:00,27.6,66,11.1
2025-01-31 12:00:00,26.2,75,9.0
2025-01-31 13:00:00,25.1,83,9.3
2025-01-31 14:00:00,24.5,88,7.7
2025-01-31 15:00:00,24.0,92,5.5
2025-01-31 16:00:00,23.4,95,4.2
2025-01-31 17:00:00,23.1,96,4.7
2025-01-31 18:00:00,22.7,98,4.1
2025-01-31 19:00:00,22.5,98,4.6
2025-01-31 20:00:00,22.2,99,4.0
2025-01-31 21:00:00,21.7,99,3.3
2025-01-31 22:00:00,21.6,98,3.2
2025-01-31 23:00:00,21.8,99,4.4
2025-02-01 00:00:00,21.5,99,4.5
2025-02-01 01:00:00,21.3,100,3.1
2025-02-01 02:00:00,21.7,98,3.6
2025-02-01 03:00:00,23.4,89,4.1
2025-02-01 04:00:00,26.0,75,4.7
2025-02-01 05:00:00,28.2,63,5.2
2025-02-01 06:00:00,29.7,56,6.0
2025-02-01 07:00:00,30.5,53,7.7
2025-02-01 08:00:00,30.6,55,8.8
2025-02-01 09:00:00,30.4,56,10.1
2025-02-01 10:00:00,29.5,53,11.1
2025-02-01 11:00:00,28.1,56,10.3
2025-02-01 12:00:00,26.4,72,7.8
2025-02-01 13:00:00,25.0,82,7.9
2025-02-01 14:00:00,24.2,86,6.6
2025-02-01 15:00:00,23.9,89,6.6
2025-02-01 16:00:00,23.4,92,6.9
2025-02-01 17:00:00,23.1,95,6.4
2025-02-01 18:00:00,22.8,96,6.4
2025-02-01 19:00:00,22.4,98,6.2
2025-02-01 20:00:00,22.1,98,5.8
2025-02-01 21:00:00,21.8,98,5.9
2025-02-01 22:00:00,21.6,99,7.1
2025-02-01 23:00:00,21.4,98,6.9
2025-02-02 00:00:00,21.3,99,6.0
2025-02-02 01:00:00,22.0,99,6.2
2025-02-02 02:00:00,22.3,99,7.0
2025-02-02 03:00:00,23.4,90,6.9
2025-02-02 04:00:00,25.9,75,4.4
2025-02-02 05:00:00,28.4,57,3.6
